unit_id,qid,canonical_qid,exam_id_canonical,num,type,subq,grain,归属_RE,admission,evidence,evidence_detail,downgrade_notes,script_tier,rule_version
BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO,3,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,11,选择题,,整题,IN,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO,13,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO,14,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,16,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q17#1,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,主观题,1,小问,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q17#2,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,主观题,2,小问,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,18,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO,19,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO,20,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO,21,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO,22,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,"关联但不合并(疑似跨卷复用/串题,非duplicate_registration_alias):dup_of=BJ-2026-FT-YIMO-Q21",不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG,12,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG,13,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG,14,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG,15,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG,17,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q20#1,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,1,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q20#2,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,2,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q20#3,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,3,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q3,BJ-2025-CY-ERMO-Q3,BJ-2025-CY-ERMO-Q3,BJ-2025-CY-ERMO,3,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q4,BJ-2025-CY-ERMO-Q4,BJ-2025-CY-ERMO-Q4,BJ-2025-CY-ERMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q12,BJ-2025-CY-ERMO-Q12,BJ-2025-CY-ERMO-Q12,BJ-2025-CY-ERMO,12,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q13,BJ-2025-CY-ERMO-Q13,BJ-2025-CY-ERMO-Q13,BJ-2025-CY-ERMO,13,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q14,BJ-2025-CY-ERMO-Q14,BJ-2025-CY-ERMO-Q14,BJ-2025-CY-ERMO,14,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q16,BJ-2025-CY-ERMO-Q16,BJ-2025-CY-ERMO-Q16,BJ-2025-CY-ERMO,16,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q19,BJ-2025-CY-ERMO-Q19,BJ-2025-CY-ERMO-Q19,BJ-2025-CY-ERMO,19,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO,21,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q22,BJ-2025-CY-ERMO-Q22,BJ-2025-CY-ERMO-Q22,BJ-2025-CY-ERMO,22,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q2,BJ-2023-FT-ERMO-Q2,BJ-2023-FT-ERMO-Q2,BJ-2023-FT-ERMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q3,BJ-2023-FT-ERMO-Q3,BJ-2023-FT-ERMO-Q3,BJ-2023-FT-ERMO,3,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q4,BJ-2023-FT-ERMO-Q4,BJ-2023-FT-ERMO-Q4,BJ-2023-FT-ERMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q5,BJ-2023-FT-ERMO-Q5,BJ-2023-FT-ERMO-Q5,BJ-2023-FT-ERMO,5,选择题,,整题,IN,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q6,BJ-2023-FT-ERMO-Q6,BJ-2023-FT-ERMO-Q6,BJ-2023-FT-ERMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q7,BJ-2023-FT-ERMO-Q7,BJ-2023-FT-ERMO-Q7,BJ-2023-FT-ERMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q13,BJ-2023-FT-ERMO-Q13,BJ-2023-FT-ERMO-Q13,BJ-2023-FT-ERMO,13,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q14,BJ-2023-FT-ERMO-Q14,BJ-2023-FT-ERMO-Q14,BJ-2023-FT-ERMO,14,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q16,BJ-2023-FT-ERMO-Q16,BJ-2023-FT-ERMO-Q16,BJ-2023-FT-ERMO,16,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q18#1,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO,18,主观题,1,小问,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q18#2,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO,18,主观题,2,小问,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q19,BJ-2023-FT-ERMO-Q19,BJ-2023-FT-ERMO-Q19,BJ-2023-FT-ERMO,19,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q3,BJ-2020-BJ-GAOKAO-Q3,BJ-2020-BJ-GAOKAO-Q3,BJ-2020-BJ-GAOKAO,3,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q5,BJ-2020-BJ-GAOKAO-Q5,BJ-2020-BJ-GAOKAO-Q5,BJ-2020-BJ-GAOKAO,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q6,BJ-2020-BJ-GAOKAO-Q6,BJ-2020-BJ-GAOKAO-Q6,BJ-2020-BJ-GAOKAO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q7,BJ-2020-BJ-GAOKAO-Q7,BJ-2020-BJ-GAOKAO-Q7,BJ-2020-BJ-GAOKAO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q8,BJ-2020-BJ-GAOKAO-Q8,BJ-2020-BJ-GAOKAO-Q8,BJ-2020-BJ-GAOKAO,8,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q9,BJ-2020-BJ-GAOKAO-Q9,BJ-2020-BJ-GAOKAO-Q9,BJ-2020-BJ-GAOKAO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q11,BJ-2020-BJ-GAOKAO-Q11,BJ-2020-BJ-GAOKAO-Q11,BJ-2020-BJ-GAOKAO,11,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q13,BJ-2020-BJ-GAOKAO-Q13,BJ-2020-BJ-GAOKAO-Q13,BJ-2020-BJ-GAOKAO,13,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q14,BJ-2020-BJ-GAOKAO-Q14,BJ-2020-BJ-GAOKAO-Q14,BJ-2020-BJ-GAOKAO,14,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q16#1,BJ-2020-BJ-GAOKAO-Q16,BJ-2020-BJ-GAOKAO-Q16,BJ-2020-BJ-GAOKAO,16,主观题,1,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q16#2,BJ-2020-BJ-GAOKAO-Q16,BJ-2020-BJ-GAOKAO-Q16,BJ-2020-BJ-GAOKAO,16,主观题,2,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO,18,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q19#1,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO,19,主观题,1,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q19#2,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO,19,主观题,2,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v3
