卷,届别标签,题号_小问,题型,最终rel,证据状态,判定来源,conf,why,unit_id
BJ-2023-CY-YIMO,2023朝阳一模,6,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,感性/理性认识、规律、联系属PH；无经济与社会知识点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-CY-YIMO-Q6
BJ-2023-DC-ERMO,2023东城二模,1,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,中国式现代化、科学社会主义、道路多样性属B1；卡1列道路多样性排除B2（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-DC-ERMO-Q1
BJ-2023-DC-ERMO,2023东城二模,2,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,传统文化基因、文明观属CU；物质生产基础属PH；无经济知识点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-DC-ERMO-Q2
BJ-2023-DC-YIMO,2023东城一模,11,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,司法职能、诉讼服务属公正司法；人民调解、非诉讼机制属X2；无经济点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-DC-YIMO-Q11
BJ-2023-DC-YIMO,2023东城一模,2,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,主客观统一、意识作用、建立联系属PH；京津冀仅背景（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-DC-YIMO-Q2
BJ-2023-DC-YIMO,2023东城一模,3,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,正逆思维属思维书；同一性斗争性、合规律合目的属PH；绿色低碳仅背景（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-DC-YIMO-Q3
BJ-2023-DC-YIMO,2023东城一模,4,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),高,文化权益、文化产业社会效益首位、文化活力均属CU；卡1列文化权益排除B2（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-DC-YIMO-Q4
BJ-2023-FT-ERMO,2023丰台二模,13,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),高,劳动争议仲裁前置、离婚不可仲裁、行政诉讼均属X2；卡1明列排除B2（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-FT-ERMO-Q13
BJ-2023-FT-ERMO,2023丰台二模,15,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,国际组织、全球合作属X1；无经济与社会知识点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-FT-ERMO-Q15
BJ-2023-FT-ERMO,2023丰台二模,2,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),高,各历史阶段对现代化的贡献、中国式现代化属B1剔除清单（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-FT-ERMO-Q2
BJ-2023-FT-YIMO,2023丰台一模,13,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,格式条款、违约与侵权、不可抗力属X2；交易秩序仅判决作用（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-FT-YIMO-Q13
BJ-2023-HD-ERMO,2023海淀二模,10,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),高,科学民主依法立法、法律体系、依法治国基本方式、党的领导均属B3（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-ERMO-Q10
BJ-2023-HD-ERMO,2023海淀二模,13,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),高,国际组织与全球治理议题属X1；卡1列国际组织性质排除B2（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-ERMO-Q13
BJ-2023-HD-ERMO,2023海淀二模,15,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),高,检察机关职能、司法公正属B3；支持起诉非代替起诉属X2（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-ERMO-Q15
BJ-2023-HD-ERMO,2023海淀二模,18,主观题,(未列为相关),完整题-有E1,升级复判(escs01),高,点名哲学与文化；细则为文化继承交融、联系综合创新、人民立场；无经济角度（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-ERMO-Q18
BJ-2023-HD-ERMO,2023海淀二模,19,主观题,(未列为相关),完整题-有E1,升级复判(escs01),高,法官视角评诉讼请求；细则为民事权利、物业义务、绿色原则、相邻关系（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-ERMO-Q19
BJ-2023-HD-ERMO,2023海淀二模,20(2),主观题,(未列为相关),完整题-有E1,升级复判(escs01),高,第2问哲学角度；细则为规律、实践认识、发展矛盾、群众主体四维（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-ERMO-Q20#2
BJ-2023-HD-ERMO,2023海淀二模,7,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,共建共治共享、执法主体属B3；同一性斗争性属PH；无经济点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-ERMO-Q7
BJ-2023-HD-QIZHONG,2024海淀期中,15,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),高,非盟、G20国际组织性质属X1；卡1列排除B2（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-QIZHONG-Q15
BJ-2023-HD-QIZHONG,2024海淀期中,16,主观题,(未列为相关),待裁决-证据未核实,升级复判(escs01),中,点名中国特色社会主义与国际政治经济；细则含社会基本矛盾、人类命运共同体（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-QIZHONG-Q16
BJ-2023-HD-QIZHONG,2024海淀期中,2,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),高,初级阶段、中国式现代化、中国梦属B1；②党的领导（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-QIZHONG-Q2
BJ-2023-HD-QIZHONG,2024海淀期中,20,主观题,(未列为相关),待裁决-证据未核实,升级复判(escs01),中,点名政治与法治；细则为党的地位先进性执政能力；理论地位属B1（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-QIZHONG-Q20
BJ-2023-HD-QIZHONG,2024海淀期中,21,主观题,(未列为相关),待裁决-证据未核实,升级复判(escs01),中,点名政治与法治；细则为科学立法、严格执法、法治社会、调解化解矛盾（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-QIZHONG-Q21
BJ-2023-HD-QIZHONG,2024海淀期中,22,主观题,(未列为相关),待裁决-证据未核实,升级复判(escs01),中,点名政治与法治；细则为民主协商、居民会议、有序参与等基层自治（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-QIZHONG-Q22
