类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id
漏收,BJ-2022-BJ-GAOKAO,2022北京高考,21,主观题,跨,完整题-有E1,升级复判(escs01),中,综合运用所学；细则常用知识含矛盾实践辩证否定、传统文化、自我革命、新发展理念等,BJ-2022-BJ-GAOKAO-Q21
漏收,BJ-2023-BJ-GAOKAO,2023北京高考,2,选择题,跨,完整题-选择题照收,首判(c003),中,社会存在与意识、矛盾转化、整体部分属PH；区域协调发展B2、新时代背景B1为弱角度,BJ-2023-BJ-GAOKAO-Q2
漏收,BJ-2023-FT-ERMO,2023丰台二模,11,选择题,跨,完整题-选择题照收,首判(c007),中,基层党组织战斗堡垒、民主选举、基层自治属必修三；A涉就业,BJ-2023-FT-ERMO-Q11
漏收,BJ-2024-CY-ERMO,2024朝阳二模,3,选择题,跨,完整题-选择题照收,升级复判(escc02),低,高校专业调整服务经济社会发展与就业，未见明确文化知识考点,BJ-2024-CY-ERMO-Q3
漏收,BJ-2024-DC-ERMO,2024东城二模,6,选择题,跨,完整题-选择题照收,升级复判(escc02),中,正确项创新思维属MI；A/B司法救助、法律援助属B3/X2；D企业治理属B2,BJ-2024-DC-ERMO-Q6
漏收,BJ-2024-HD-ERMO,2024海淀二模,14,选择题,跨,完整题-选择题照收,首判(c018),中,欧盟机构、贸易保护与要素全球流动、比较优势属X1；B企业成本竞争力可用B2,BJ-2024-HD-ERMO-Q14
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,1,选择题,主,完整题-选择题照收,首判(c018),高,公有制是基础、国有经济主导、民营经济作用，属基本经济制度B2；书稿未收,BJ-2024-HD-QIZHONG-Q1
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,1,选择题,主,完整题-选择题照收,首判(c018),高,同2024海淀期中Q1重复别名；国有与民营经济作用属B2,BJ-2025-HD-QIZHONG-Q1
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,12,选择题,跨,完整题-选择题照收,升级复判(escc03),低,总体国家安全观；①国家利益涉X1，④新发展格局涉B2，国家安全归属存疑,BJ-2025-HD-QIZHONG-Q12
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,13,选择题,主,完整题-选择题照收,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治,BJ-2024-HD-QIZHONG-Q13
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,13,选择题,主,完整题-选择题照收,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治,BJ-2025-HD-QIZHONG-Q13
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,3,选择题,主,完整题-选择题照收,首判(c019),中,消费拓展、创新作用、市场秩序与价格管理均属经济与社会,BJ-2024-HD-QIZHONG-Q3
