source_id,rel_path,original_path,format,size,sha256,top_dir,in_scope,exclude_reason,alias_count,alias_paths,pages,pages_source,read_status,process_status,output_path
S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,pptx,3594272,55473ddd97c8d739d5b5304ed95bfa140aee68802a12f724ae7fcadc8536b035,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,13,python-pptx len(slides),pending,pending,
Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,pdf,3014454,c90c72fbae63c77768f01981a7f34448556c9428ddb7864eb5ef9fe3ba5d6244,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,1,pdfinfo,pending,pending,
Sd71f294a3eff,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治试卷.pdf,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治试卷.pdf,pdf,24287998,d71f294a3effe6e6e8f16d516cdfccdf8e932eb3e982c54fb3f2dee3f6d88a90,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治试卷.pdf,12,pdfinfo,pending,pending,
Sd68e0801a751,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,docx,290159,d68e0801a751dc44f64f0caf1a74e5240de83df23521175aff46cdff1ae8e657,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,unknown,docx 无固定页数；实测 段落302 表格6,read,partial,questions/BJ-2023-FT-YIMO (Q1-Q15 teacher-version staging)
S037fd592575b,2023模拟题/2023各区模拟题(1)/各区一模/朝阳/2023-3-朝阳一模高三政治答案.pdf,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/朝阳/2023-3-朝阳一模高三政治答案.pdf,pdf,235809,037fd592575b6c201c614b3ff8b07b7d5fceee003d91874e2d256c6569f4520e,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/朝阳/2023-3-朝阳一模高三政治答案.pdf,2,pdfinfo,pending,pending,
S878f984441fc,2023模拟题/2023各区模拟题(1)/各区一模/朝阳/2023-3-朝阳一模高三政治试题.pdf,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/朝阳/2023-3-朝阳一模高三政治试题.pdf,pdf,664888,878f984441fced9cd57f1ceea72a8d4849104f7da24d3230dc57333a22e1f67b,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/朝阳/2023-3-朝阳一模高三政治试题.pdf,8,pdfinfo,pending,pending,
Sb740cc856b44,2023模拟题/2023各区模拟题(1)/各区一模/海淀/2022-2023年第二学期高三政治期中试题(3).pdf,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/海淀/2022-2023年第二学期高三政治期中试题(3).pdf,pdf,733074,b740cc856b44f3ba1ab8f837234294412b1af5f9ddf864b0bb91673127441fe5,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/海淀/2022-2023年第二学期高三政治期中试题(3).pdf,8,pdfinfo,pending,pending,
S1e63c7437c16,2023模拟题/2023各区模拟题(1)/各区一模/海淀/海淀区2022-2023学年第二学期期练中习高三思想政治参考答案(4).pdf,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/海淀/海淀区2022-2023学年第二学期期练中习高三思想政治参考答案(4).pdf,pdf,230665,1e63c7437c16baad58aef1a598197372ecde6656e8add458490ddcb5db93e644,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/海淀/海淀区2022-2023学年第二学期期练中习高三思想政治参考答案(4).pdf,3,pdfinfo,pending,pending,
S74dee7282b3f,2023模拟题/2023各区模拟题(1)/各区一模/海淀/细则(2).pdf,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/海淀/细则(2).pdf,pdf,11908762,74dee7282b3f832fdae51a79fc0f18dc7cd7b62678ac6648dbfb2671dddb2254,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/海淀/细则(2).pdf,49,pdfinfo,pending,pending,
S86c2eb361038,2023模拟题/2023各区模拟题(1)/各区一模/西城/西城-高三政治一模答案.docx,/Users/wanglifei/Desktop/gpt和claude共同的小窝/00_共同资料/原材料/2023模拟题/2023各区模拟题(1)/各区一模/西城/西城-高三政治一模答案.docx,docx,44754,86c2eb361038092a7e4e248a1c6adad080804236662f5bcbbc0a7a8ee690440a,2023模拟题,Y,,1,/Users/wanglifei/Desktop/2023模拟题/2023各区模拟题(1)/各区一模/西城/西城-高三政治一模答案.docx,unknown,docx 无固定页数；实测 段落25 表格2,pending,pending,
