question_id,exam_id,num,type,type_source,score_text,score_value,subq_hint,source_id,role,variant,rel_path,line_range,chars,option_marks,needs_review,extraction_status
BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO,1,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 5-15,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO,2,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 16-27,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO,3,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 28-38,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO,4,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 39-52,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO,5,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 53-63,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO,6,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 64-75,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO,7,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 76-87,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO,8,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 88-98,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO,9,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 99-110,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO,10,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 111-120,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,11,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 121-128,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO,12,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 129-139,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO,13,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 140-151,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO,14,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 152-163,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO,15,选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 164-175,,4,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,16,非选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 178-196,,0,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,非选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 197-218,,0,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,18,非选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 219-234,,0,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO,19,非选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 235-252,,0,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO,20,非选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 253-268,,0,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO,21,非选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 269-293,,0,Y,all_available_source_conversion_accepted
BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO,22,非选择题,source_candidate_question_structure,,,,Sd68e0801a751,教师版/转录题源候选,visual_checked_shared,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,DOCX seq 294-307,,0,Y,all_available_source_conversion_accepted
BJ-2024-CY-QIZHONG-Q1,BJ-2024-CY-QIZHONG,1,选择题,source_visual_independent_verified,（3分）,3,,S0a50f76fd1e1,原卷,visual_checked_shared,2024模拟题/2024朝阳期中/试卷/试卷.pdf,PDF题面区p001,,4,Y,all_available_source_conversion_accepted
BJ-2024-CY-QIZHONG-Q2,BJ-2024-CY-QIZHONG,2,选择题,source_visual_independent_verified,（3分）,3,,S0a50f76fd1e1,原卷,visual_checked_shared,2024模拟题/2024朝阳期中/试卷/试卷.pdf,PDF题面区p001,,4,Y,all_available_source_conversion_accepted
BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG,3,选择题,source_visual_independent_verified,（3分）,3,,S0a50f76fd1e1,原卷,visual_checked_shared,2024模拟题/2024朝阳期中/试卷/试卷.pdf,PDF题面区p001,,4,Y,all_available_source_conversion_accepted
BJ-2024-CY-QIZHONG-Q4,BJ-2024-CY-QIZHONG,4,选择题,source_visual_independent_verified,（3分）,3,,S0a50f76fd1e1,原卷,visual_checked_shared,2024模拟题/2024朝阳期中/试卷/试卷.pdf,PDF题面区p002,,4,Y,all_available_source_conversion_accepted
BJ-2024-CY-QIZHONG-Q5,BJ-2024-CY-QIZHONG,5,选择题,source_visual_independent_verified,（3分）,3,,S0a50f76fd1e1,原卷,visual_checked_shared,2024模拟题/2024朝阳期中/试卷/试卷.pdf,PDF题面区p002,,4,Y,all_available_source_conversion_accepted
BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG,6,选择题,source_visual_independent_verified,（3分）,3,,S0a50f76fd1e1,原卷,visual_checked_shared,2024模拟题/2024朝阳期中/试卷/试卷.pdf,PDF题面区p002,,4,Y,all_available_source_conversion_accepted
