卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2023-CY-ERMO,3,②,选择题(题肢),MI,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q3
BJ-2023-CY-ERMO,7,②,选择题(题肢),MI,首判(c004),高,单称主项、谓项周延属推理；辩证思维、创新思维属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q7
BJ-2023-CY-ERMO,7,④,选择题(题肢),MI,首判(c004),高,单称主项、谓项周延属推理；辩证思维、创新思维属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q7
BJ-2023-CY-YIMO,8,A,选择题(题肢),MI,首判(c004),中,科学思维客观性、创新能力属思维；如实反映、违背规律涉PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q8
BJ-2023-CY-YIMO,8,B,选择题(题肢),MI,首判(c004),中,科学思维客观性、创新能力属思维；如实反映、违背规律涉PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q8
BJ-2023-CY-YIMO,8,C,选择题(题肢),MI,首判(c004),中,科学思维客观性、创新能力属思维；如实反映、违背规律涉PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q8
BJ-2023-CY-YIMO,8,D,选择题(题肢),MI,首判(c004),中,科学思维客观性、创新能力属思维；如实反映、违背规律涉PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q8
BJ-2023-CY-YIMO,9,C,选择题(题肢),MI,首判(c004),高,联言判断、假言推理属推理；辩证思维、法治思维属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q9
BJ-2023-CY-YIMO,9,D,选择题(题肢),MI,首判(c004),高,联言判断、假言推理属推理；辩证思维、法治思维属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q9
BJ-2023-DC-ERMO,14,①,选择题(题肢),MI,首判(c005),中,意识能动作用、整体与部分属哲学；辩证思维属思维；归纳推理属推理（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q14
BJ-2023-DC-ERMO,14,③,选择题(题肢),MI,首判(c005),中,意识能动作用、整体与部分属哲学；辩证思维属思维；归纳推理属推理（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q14
BJ-2023-DC-ERMO,15,A,选择题(题肢),MI,首判(c005),中,正确肢B充要条件假言推理、D求同法属推理；假如式、思维具体抽象属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q15
BJ-2023-DC-ERMO,15,C,选择题(题肢),MI,首判(c005),中,正确肢B充要条件假言推理、D求同法属推理；假如式、思维具体抽象属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q15
BJ-2023-DC-ERMO,5,③,选择题(题肢),MI,首判(c005),中,②民族文化展现属文化，③发散与聚合思维属思维；答案C（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q5
BJ-2023-DC-YIMO,1,③,选择题(题肢),MI,升级复判(escc01),低,主要矛盾、总体趋势属PH；战略思维可涉思维书；①党的领导（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q1
BJ-2023-DC-YIMO,13,③,选择题(题肢),MI,首判(c006),中,利弊转化、辩证否定属哲学；超前思维涉思维；④立法规范属B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q13
BJ-2023-DC-YIMO,2,③,选择题(题肢),MI,升级复判(escc01),中,主客观统一、意识作用、建立联系属PH；京津冀仅背景（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q2
BJ-2023-DC-YIMO,3,②,选择题(题肢),MI,升级复判(escc01),中,正逆思维属思维书；同一性斗争性、合规律合目的属PH；绿色低碳仅背景（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q3
BJ-2023-FT-ERMO,6,①,选择题(题肢),MI,首判(c006),中,系统思维、量变属哲学思维；正确肢含需求牵引供给、市场作用经济角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q6
BJ-2023-FT-ERMO,6,④,选择题(题肢),MI,首判(c006),中,系统思维、量变属哲学思维；正确肢含需求牵引供给、市场作用经济角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q6
BJ-2023-HD-ERMO,3,D,选择题(题肢),MI,首判(c007),中,从实际出发、矛盾主要方面、整体部分、系统观念（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q3
BJ-2023-HD-ERMO,4,①,选择题(题肢),MI,首判(c007),高,超前、发散、联想、辩证思维辨析（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q4
