卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2023-CY-ERMO,11,①,选择题(题肢),CU,首判(c004),中,党的群众组织力社会号召力、干部队伍属B3；统一思想涉CU；理论创新涉B1/PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q11
BJ-2023-CY-ERMO,2,①,选择题(题肢),CU,首判(c004),中,现代化新道路、改革开放方向、民族复兴属B1；人民主体地位PH；精神力量CU（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q2
BJ-2023-CY-ERMO,2,③,选择题(题肢),CU,首判(c004),中,现代化新道路、改革开放方向、民族复兴属B1；人民主体地位PH；精神力量CU（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q2
BJ-2023-CY-ERMO,5,①,选择题(题肢),CU,首判(c004),中,读书、价值观外化、经典与传统继承属CU；知行合一属PH认识论（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q5
BJ-2023-CY-ERMO,5,②,选择题(题肢),CU,首判(c004),中,读书、价值观外化、经典与传统继承属CU；知行合一属PH认识论（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q5
BJ-2023-CY-ERMO,5,③,选择题(题肢),CU,首判(c004),中,读书、价值观外化、经典与传统继承属CU；知行合一属PH认识论（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q5
BJ-2023-CY-ERMO,9,④,选择题(题肢),CU,金标(gold_final),高,财政、收入分配、实体经济；④核心价值观劳动精神属文化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q9
BJ-2023-CY-YIMO,15,B,选择题(题肢),CU,升级复判(escc01),中,外交宗旨、全球话语体系属X1；B讲好中国故事涉文化传播（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q15
BJ-2023-CY-YIMO,3,①,选择题(题肢),CU,首判(c004),中,雷锋精神、核心价值观、社会文明程度属CU；劳动奉献实现人生价值属PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q3
BJ-2023-CY-YIMO,3,②,选择题(题肢),CU,首判(c004),中,雷锋精神、核心价值观、社会文明程度属CU；劳动奉献实现人生价值属PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q3
