unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_X2,admission,evidence,downgrade_notes,script_tier,rule_version
BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO,9,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO,10,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,11,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO,12,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO,13,选择题,,整题,IN,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO,14,选择题,,整题,IN,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,16,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q17#1,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,主观题,1,小问,MAYBE,不收-无E1,缺细则,B1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q17#2,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,主观题,2,小问,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,18,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO,19,主观题,,整题,MAYBE,不收-无E1,缺细则,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO,20,主观题,,整题,MAYBE,不收-无E1,缺细则,B1:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO,21,主观题,,整题,MAYBE,不收-无E1,缺细则,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO,22,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG,6,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG,7,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG,10,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG,11,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG,12,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG,13,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
