question_id,exam_id,qnum,material_source_id,material_rel_path,material_role,material_kind,pair_status,exam_rubric_status,overlap,num_from_name,evidence
BJ-2023-DC-YIMO-Q16,BJ-2023-DC-YIMO,16,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,已匹配正式材料,已匹配正式材料,1.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干661字/材料段662字)；分值文本 7；同题另一来源块状态较弱(已匹配正式材料)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-DC-YIMO-Q16,BJ-2023-DC-YIMO,16,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,已匹配正式材料,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第16题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干661字/材料段0字)；分值文本 7；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-DC-YIMO-Q17,BJ-2023-DC-YIMO,17,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,已匹配正式材料,已匹配正式材料,1.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干427字/材料段429字)；分值文本 8；同题另一来源块状态较弱(已匹配正式材料)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-DC-YIMO-Q17,BJ-2023-DC-YIMO,17,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,已匹配正式材料,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第17题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干427字/材料段0字)；分值文本 8；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-DC-YIMO-Q18,BJ-2023-DC-YIMO,18,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,已匹配正式材料,已匹配正式材料,1.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干503字/材料段503字)；分值文本 5；同题另一来源块状态较弱(已匹配正式材料)，已按最强状态归并；同题另一来源块状态较弱(已匹配正式材料)，已按最强状态归并
BJ-2023-DC-YIMO-Q18,BJ-2023-DC-YIMO,18,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,已匹配正式材料,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第18题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干503字/材料段0字)；分值文本 5；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-DC-YIMO-Q19,BJ-2023-DC-YIMO,19,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,已匹配正式材料,已匹配正式材料,1.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干228字/材料段229字)；分值文本 6；同题另一来源块状态较弱(已匹配正式材料)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-DC-YIMO-Q19,BJ-2023-DC-YIMO,19,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,已匹配正式材料,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第19题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干228字/材料段0字)；分值文本 6；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-DC-YIMO-Q20,BJ-2023-DC-YIMO,20,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,已匹配正式材料,已匹配正式材料,1.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干485字/材料段486字)；分值文本 4；同题另一来源块状态较弱(已匹配正式材料)，已按最强状态归并；同题另一来源块状态较弱(已匹配正式材料)，已按最强状态归并
BJ-2023-DC-YIMO-Q20,BJ-2023-DC-YIMO,20,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,已匹配正式材料,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第20题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干485字/材料段0字)；分值文本 4；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
