qid,type,books,kind,subq,same_subq,whole_in
BJ-2023-FT-YIMO-Q4,选择题,bixiu2;bixiu3,choice_in_multiple_books,bixiu2:整题 | bixiu3:整题,,bixiu2;bixiu3
BJ-2024-CY-QIZHONG-Q1,选择题,philosophy;culture,choice_in_multiple_books,philosophy:整题 | culture:整题,,philosophy;culture
BJ-2024-CY-QIZHONG-Q5,选择题,philosophy;reasoning,choice_in_multiple_books,philosophy:整题 | reasoning:整题,,philosophy;reasoning
BJ-2024-CY-QIZHONG-Q6,选择题,philosophy;culture,choice_in_multiple_books,philosophy:整题 | culture:整题,,philosophy;culture
BJ-2024-CY-QIZHONG-Q10,选择题,philosophy;reasoning,choice_in_multiple_books,philosophy:整题 | reasoning:整题,,philosophy;reasoning
BJ-2024-CY-QIZHONG-Q17,非选择题,philosophy;culture,whole_question_ref_overlaps,philosophy:整题 | culture:整题,,philosophy;culture
BJ-2024-CY-QIZHONG-Q20,非选择题,xuanbi1;bixiu2,same_subq_in_multiple_books,xuanbi1:3 | bixiu2:1/2/3,3,
BJ-2025-CY-ERMO-Q1,选择题,philosophy;culture;bixiu2,choice_in_multiple_books,philosophy:整题 | culture:整题 | bixiu2:整题,,philosophy;culture;bixiu2
BJ-2025-CY-ERMO-Q3,选择题,philosophy;culture,choice_in_multiple_books,philosophy:整题 | culture:整题,,philosophy;culture
BJ-2025-CY-ERMO-Q4,选择题,philosophy;culture,choice_in_multiple_books,philosophy:整题 | culture:整题,,philosophy;culture
BJ-2025-CY-ERMO-Q7,选择题,philosophy;mind;reasoning,choice_in_multiple_books,philosophy:整题 | mind:整题 | reasoning:整题,,philosophy;mind;reasoning
BJ-2025-CY-ERMO-Q14,选择题,xuanbi1;bixiu2,choice_in_multiple_books,xuanbi1:整题 | bixiu2:整题,,xuanbi1;bixiu2
BJ-2025-CY-ERMO-Q16,非选择题,philosophy;culture,whole_question_ref_overlaps,philosophy:整题 | culture:整题,,philosophy;culture
BJ-2025-CY-ERMO-Q22,非选择题,philosophy;bixiu3,whole_question_ref_overlaps,philosophy:整题 | bixiu3:整题,,philosophy;bixiu3
BJ-2020-BJ-GAOKAO-Q2,选择题,philosophy;culture,choice_in_multiple_books,philosophy:整题 | culture:整题,,philosophy;culture
BJ-2020-BJ-GAOKAO-Q6,选择题,philosophy;bixiu3,choice_in_multiple_books,philosophy:整题 | bixiu3:整题,,philosophy;bixiu3
BJ-2020-BJ-GAOKAO-Q8,选择题,bixiu2;bixiu3,choice_in_multiple_books,bixiu2:整题 | bixiu3:整题,,bixiu2;bixiu3
BJ-2020-BJ-GAOKAO-Q19,非选择题,philosophy;bixiu2;bixiu3,same_subq_in_multiple_books,philosophy:2 | bixiu2:1 | bixiu3:1,1,
BJ-2024-CY-YIMO-Q9,选择题,philosophy;bixiu3,choice_in_multiple_books,philosophy:整题 | bixiu3:整题,,philosophy;bixiu3
BJ-2024-CY-YIMO-Q14,选择题,xuanbi1;bixiu2,choice_in_multiple_books,xuanbi1:整题 | bixiu2:整题,,xuanbi1;bixiu2
BJ-2024-CY-YIMO-Q16,非选择题,philosophy;bixiu3,whole_question_ref_overlaps,philosophy:整题 | bixiu3:整题,,philosophy;bixiu3
BJ-2024-CY-YIMO-Q19,非选择题,xuanbi2;bixiu2,whole_question_ref_overlaps,xuanbi2:整题 | bixiu2:整题,,xuanbi2;bixiu2
BJ-2023-BJ-GAOKAO-Q3,选择题,philosophy;bixiu2,choice_in_multiple_books,philosophy:整题 | bixiu2:整题,,philosophy;bixiu2
BJ-2023-BJ-GAOKAO-Q11,选择题,xuanbi2;bixiu3,choice_in_multiple_books,xuanbi2:整题 | bixiu3:整题,,xuanbi2;bixiu3
BJ-2023-BJ-GAOKAO-Q18,非选择题,xuanbi2;reasoning;bixiu3,whole_question_ref_overlaps,xuanbi2:整题 | reasoning:3 | bixiu3:1/2,,xuanbi2
