卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2023-BJ-GAOKAO,2,②,选择题(题肢),B2,首判(c003),中,社会存在与意识、矛盾转化、整体部分属PH；区域协调发展B2、新时代背景B1为弱角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-BJ-GAOKAO-Q2
BJ-2023-BJ-GAOKAO,2,④,选择题(题肢),B2,首判(c003),中,社会存在与意识、矛盾转化、整体部分属PH；区域协调发展B2、新时代背景B1为弱角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-BJ-GAOKAO-Q2
BJ-2023-FT-ERMO,11,A,选择题(题肢),B2,首判(c007),中,基层党组织战斗堡垒、民主选举、基层自治属必修三；A涉就业（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q11
BJ-2024-CY-ERMO,3,A,选择题(题肢),B2,升级复判(escc02),低,高校专业调整服务经济社会发展与就业，未见明确文化知识考点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-CY-ERMO-Q3
BJ-2024-CY-ERMO,3,B,选择题(题肢),B2,升级复判(escc02),低,高校专业调整服务经济社会发展与就业，未见明确文化知识考点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-CY-ERMO-Q3
BJ-2024-CY-ERMO,3,D,选择题(题肢),B2,升级复判(escc02),低,高校专业调整服务经济社会发展与就业，未见明确文化知识考点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-CY-ERMO-Q3
BJ-2024-DC-ERMO,6,D,选择题(题肢),B2,升级复判(escc02),中,正确项创新思维属MI；A/B司法救助、法律援助属B3/X2；D企业治理属B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-DC-ERMO-Q6
BJ-2024-HD-ERMO,14,B,选择题(题肢),B2,首判(c018),中,欧盟机构、贸易保护与要素全球流动、比较优势属X1；B企业成本竞争力可用B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-ERMO-Q14
BJ-2024-HD-QIZHONG,1,①,选择题(题肢),B2,首判(c018),高,公有制是基础、国有经济主导、民营经济作用，属基本经济制度B2；书稿未收（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-QIZHONG-Q1
BJ-2024-HD-QIZHONG,1,②,选择题(题肢),B2,首判(c018),高,公有制是基础、国有经济主导、民营经济作用，属基本经济制度B2；书稿未收（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-QIZHONG-Q1
BJ-2024-HD-QIZHONG,1,③,选择题(题肢),B2,首判(c018),高,公有制是基础、国有经济主导、民营经济作用，属基本经济制度B2；书稿未收（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-QIZHONG-Q1
BJ-2024-HD-QIZHONG,1,④,选择题(题肢),B2,首判(c018),高,公有制是基础、国有经济主导、民营经济作用，属基本经济制度B2；书稿未收（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-QIZHONG-Q1
BJ-2024-HD-QIZHONG,1,①,选择题(题肢),B2,首判(c018),高,同2024海淀期中Q1重复别名；国有与民营经济作用属B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-QIZHONG-Q1
