book,block,raw,key,own_probe,best,best_probe,top,node,verdict,own_exam_status
philosophy,B0073,2026年东城期末第16题,BJ-2026-DC-QIMO-Q16,0/5,,0/5,{},03　主观能动性 / 意识的能动作用,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0128,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",04　尊重客观规律与发挥主观能动性相结合,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0132,2026年东城期末第4题,BJ-2026-DC-QIMO-Q4,0/5,,0/5,{},04　尊重客观规律与发挥主观能动性相结合,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0138,2025年海淀期末第5题,BJ-2025-HD-QIMO-Q5,0/5,,0/5,{},04　尊重客观规律与发挥主观能动性相结合,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0144,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",05　规律的客观性,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0157,2025年朝阳一模第1题,BJ-2025-CY-YIMO-Q1,0/5,,0/5,{},05　规律的客观性,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0170,2025年丰台一模第18题第（3）问,BJ-2025-FT-YIMO-Q18,0/5,,0/5,{},06　联系的普遍性 / 联系的观点（总）,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0173,2025年海淀一模第22题,BJ-2025-HD-YIMO-Q22,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1, ""BJ-2026-SJS-ERMO-Q1"": 1}",06　联系的普遍性 / 联系的观点（总）,weak_or_bank_text_unusable,Q22学生层补充已合入；只完成受限范围独立复核与主控原图检查。Q22手写连续文字/身份/批注者/分值未决；整卷待复核、未验收。
philosophy,B0232,2025年海淀期末第5题,BJ-2025-HD-QIMO-Q5,0/5,,0/5,{},07　联系的客观性,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0260,2025年海淀期末第5题,BJ-2025-HD-QIMO-Q5,0/5,,0/5,{},08　根据固有联系建立新的具体联系,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0278,2025年海淀一模第22题,BJ-2025-HD-YIMO-Q22,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1, ""BJ-2026-SJS-ERMO-Q1"": 1}",10　整体与部分,weak_or_bank_text_unusable,Q22学生层补充已合入；只完成受限范围独立复核与主控原图检查。Q22手写连续文字/身份/批注者/分值未决；整卷待复核、未验收。
philosophy,B0290,2026年东城期末第16题,BJ-2026-DC-QIMO-Q16,0/5,,0/5,{},10　整体与部分,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0315,2025年海淀一模第22题,BJ-2025-HD-YIMO-Q22,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1, ""BJ-2026-SJS-ERMO-Q1"": 1}",11　系统观念 / 系统优化,weak_or_bank_text_unusable,Q22学生层补充已合入；只完成受限范围独立复核与主控原图检查。Q22手写连续文字/身份/批注者/分值未决；整卷待复核、未验收。
philosophy,B0321,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",11　系统观念 / 系统优化,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0339,2026年海淀一模第21题,BJ-2026-HD-YIMO-Q21,0/5,BJ-2023-DC-ERMO-Q1,1/5,"{""BJ-2023-DC-ERMO-Q1"": 1, ""BJ-2023-HD-QIZHONG-Q2"": 1}",11　系统观念 / 系统优化,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0384,2026年海淀一模第16题,BJ-2026-HD-YIMO-Q16,0/5,,0/5,{},12　发展的观点 / 发展的普遍性,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0404,2025年丰台一模第18题第（3）问,BJ-2025-FT-YIMO-Q18,0/5,,0/5,{},12　发展的观点 / 发展的普遍性,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0408,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",12　发展的观点 / 发展的普遍性,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0423,2025年海淀期末第22题,BJ-2025-HD-QIMO-Q22,0/5,,0/5,{},13　量变与质变 / 适度原则,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0429,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",13　量变与质变 / 适度原则,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0449,2025年海淀期末第5题,BJ-2025-HD-QIMO-Q5,0/5,,0/5,{},13　量变与质变 / 适度原则,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0451,2025年朝阳一模第1题,BJ-2025-CY-YIMO-Q1,0/5,,0/5,{},13　量变与质变 / 适度原则,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0503,2026年通州一模第3题,BJ-2026-TZ-YIMO-Q3,0/5,,0/5,{},15　辩证否定 / 守正创新,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0517,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",16　矛盾就是对立统一,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0520,2025年西城期末第18题,BJ-2025-XC-QIMO-Q18,0/5,BJ-2025-HD-QIMO-Q18,5/5,"{""BJ-2025-HD-QIMO-Q18"": 5}",16　矛盾就是对立统一,bank_stem_missing_no_redirect,已有MD，尚未逐卷独立验收
philosophy,B0521,2026年东城期末第16题,BJ-2026-DC-QIMO-Q16,0/5,,0/5,{},16　矛盾就是对立统一,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0544,2025年丰台一模第18题第（3）问,BJ-2025-FT-YIMO-Q18,0/5,,0/5,{},16　矛盾就是对立统一,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0570,2025年海淀期末第6题,BJ-2025-HD-QIMO-Q6,0/5,,0/5,{},16　矛盾就是对立统一,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0583,2026年东城期末第5题,BJ-2026-DC-QIMO-Q5,0/5,BJ-2023-BJ-GAOKAO-Q2,1/5,"{""BJ-2023-BJ-GAOKAO-Q2"": 1, ""BJ-2023-DC-ERMO-Q1"": 1, ""BJ-2025-CY-ERMO-Q3"": 1}",16　矛盾就是对立统一,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0598,2026年东城期末第3题,BJ-2026-DC-QIMO-Q3,0/5,,0/5,{},16　矛盾就是对立统一,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0608,2025年西城期末第18题,BJ-2025-XC-QIMO-Q18,0/5,BJ-2025-HD-QIMO-Q18,5/5,"{""BJ-2025-HD-QIMO-Q18"": 5}",17　矛盾的普遍性,bank_stem_missing_no_redirect,已有MD，尚未逐卷独立验收
philosophy,B0680,2025年海淀一模第22题,BJ-2025-HD-YIMO-Q22,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1, ""BJ-2026-SJS-ERMO-Q1"": 1}",19A　主要矛盾和次要矛盾,weak_or_bank_text_unusable,Q22学生层补充已合入；只完成受限范围独立复核与主控原图检查。Q22手写连续文字/身份/批注者/分值未决；整卷待复核、未验收。
philosophy,B0681,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",19A　主要矛盾和次要矛盾,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0714,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",21　内因与外因,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0739,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",22　实践与认识（总）,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0806,2026年丰台期末第4题,BJ-2026-FT-QIMO-Q4,0/5,,0/5,{},23　实践是认识的基础,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0808,2025年海淀期末第6题,BJ-2025-HD-QIMO-Q6,0/5,,0/5,{},23　实践是认识的基础,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0814,2026年东城期末第2题,BJ-2026-DC-QIMO-Q2,0/5,,0/5,{},23　实践是认识的基础,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0830,2025年海淀期末第6题,BJ-2025-HD-QIMO-Q6,0/5,,0/5,{},24　认识对实践的反作用,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0865,2025年海淀期末第6题,BJ-2025-HD-QIMO-Q6,0/5,,0/5,{},26　真理观,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0881,2026年海淀一模第16题,BJ-2026-HD-YIMO-Q16,0/5,,0/5,{},27　社会存在与社会意识,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0887,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",27　社会存在与社会意识,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0890,2026年东城期末第16题,BJ-2026-DC-QIMO-Q16,0/5,,0/5,{},27　社会存在与社会意识,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0902,2026年通州一模第3题,BJ-2026-TZ-YIMO-Q3,0/5,,0/5,{},27　社会存在与社会意识,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0932,2026年通州一模第3题,BJ-2026-TZ-YIMO-Q3,0/5,,0/5,{},28　社会发展的两大基本规律和基本矛盾,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0937,2026年丰台期末第4题,BJ-2026-FT-QIMO-Q4,0/5,,0/5,{},28　社会发展的两大基本规律和基本矛盾,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0950,2025年西城期末第21题,BJ-2025-XC-QIMO-Q21,0/5,BJ-2024-FT-ERMO-Q20,1/5,"{""BJ-2024-FT-ERMO-Q20"": 1, ""BJ-2026-FS-YIMO-Q20"": 1, ""BJ-2026-SJS-ERMO-Q16"": 1}",29　改革 / 改革的实质,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0952,2025年石景山一模第21题,BJ-2025-SJS-YIMO-Q21,1/5,BJ-2025-SJS-YIMO-Q21,1/5,"{""BJ-2025-SJS-YIMO-Q21"": 1}",29　改革 / 改革的实质,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0958,2026年海淀一模第21题,BJ-2026-HD-YIMO-Q21,0/5,BJ-2023-DC-ERMO-Q1,1/5,"{""BJ-2023-DC-ERMO-Q1"": 1, ""BJ-2023-HD-QIZHONG-Q2"": 1}",30　人民群众,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0960,2025年海淀期末第22题,BJ-2025-HD-QIMO-Q22,0/5,,0/5,{},30　人民群众,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B0976,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",30　人民群众,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B1006,2026年丰台期末第2题,BJ-2026-FT-QIMO-Q2,0/5,BJ-2026-FT-QIMO-Q1,4/5,"{""BJ-2026-FT-QIMO-Q1"": 4, ""BJ-2025-BJ-GAOKAO-Q17"": 1}",30　人民群众,bank_stem_missing_no_redirect,已有MD，尚未逐卷独立验收
philosophy,B1017,2026年海淀一模第16题,BJ-2026-HD-YIMO-Q16,0/5,,0/5,{},31　价值观的导向作用,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
