unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_CU,admission,evidence,evidence_detail,downgrade_notes,script_tier,rule_version
BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO,1,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO,3,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO,5,选择题,,整题,IN,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,16,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q17#1,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,主观题,1,小问,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q17#2,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,主观题,2,小问,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,18,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO,19,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO,20,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO,21,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO,22,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,identity:dup_covered_by=bixiu3;philosophy(等价类合并生效),不明,2026-09-24-attribution-v2
