卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2020-BJ-GAOKAO,3,③,选择题(题肢),PH,升级复判(escc01),高,解析点名文化对人的影响；②④农耕文化塑造人；③实践改造自然（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q3
BJ-2023-CY-ERMO,11,②,选择题(题肢),PH,首判(c004),中,党的群众组织力社会号召力、干部队伍属B3；统一思想涉CU；理论创新涉B1/PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q11
BJ-2023-CY-ERMO,2,①,选择题(题肢),PH,首判(c004),中,现代化新道路、改革开放方向、民族复兴属B1；人民主体地位PH；精神力量CU（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q2
BJ-2023-CY-ERMO,3,②,选择题(题肢),PH,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q3
BJ-2023-CY-ERMO,5,④,选择题(题肢),PH,首判(c004),中,读书、价值观外化、经典与传统继承属CU；知行合一属PH认识论（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q5
BJ-2023-CY-ERMO,6,①,选择题(题肢),PH,首判(c004),高,实践特点、主要矛盾、观念变现实、矛盾斗争性同一性，均PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q6
BJ-2023-CY-ERMO,6,②,选择题(题肢),PH,首判(c004),高,实践特点、主要矛盾、观念变现实、矛盾斗争性同一性，均PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q6
BJ-2023-CY-ERMO,6,③,选择题(题肢),PH,首判(c004),高,实践特点、主要矛盾、观念变现实、矛盾斗争性同一性，均PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q6
BJ-2023-CY-ERMO,6,④,选择题(题肢),PH,首判(c004),高,实践特点、主要矛盾、观念变现实、矛盾斗争性同一性，均PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q6
BJ-2023-CY-ERMO,8,④,选择题(题肢),PH,升级复判(escc01),中,概念外延关系属推理；③法律体系需B3、④唯物主义形态需PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q8
