unit_id,qid,canonical_qid,exam_id_canonical,num,type,subq,grain,归属_CU,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO,8,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG,15,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
