qid,option_mark,dict_hit_modules,c_prior_top_module,note,rule_version
BJ-2023-FT-YIMO-Q1,①,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q1,②,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q1,③,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q1,④,CU,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q2,①,RE,CU,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q2,②,B3,CU,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q2,③,,CU,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q2,④,,CU,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q3,①,B3,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q3,②,X1,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q3,③,,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q3,④,B3,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q4,①,,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q4,②,CU,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q4,③,B2,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q4,④,B2,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q5,①,CU,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q5,②,,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q5,③,CU,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q5,④,,PH,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q6,①,,RE,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q6,②,X1,RE,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q6,③,,RE,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q6,④,,RE,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q7,①,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q7,②,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q7,③,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q7,④,RE,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q8,A,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q8,B,B2,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q8,C,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q8,D,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q9,①,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q9,②,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q9,③,,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q9,④,B2,B3,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q10,A,B2,X2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q10,B,,X2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q10,C,,X2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q10,D,B2,X2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q11,A,,X2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q11,B,,X2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q11,C,,X2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q11,D,,X2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q12,①,,B2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q12,②,,B2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q12,③,,B2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q12,④,,B2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q13,①,,B2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q13,②,,B2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q13,③,X2,B2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q13,④,X2,B2,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q14,①,,X1,仅词典命中弱信号(精度约0.66-0.88)，不构成准入依据；本册是否可独立判断整个题肢、官方正误需模型/人工阶段核定,2026-09-24-attribution-v2
