卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2023-CY-ERMO,7,①,选择题(题肢),RE,首判(c004),高,单称主项、谓项周延属推理；辩证思维、创新思维属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q7
BJ-2023-CY-ERMO,7,③,选择题(题肢),RE,首判(c004),高,单称主项、谓项周延属推理；辩证思维、创新思维属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q7
BJ-2023-CY-ERMO,8,①,选择题(题肢),RE,升级复判(escc01),中,概念外延关系属推理；③法律体系需B3、④唯物主义形态需PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q8
BJ-2023-CY-ERMO,8,②,选择题(题肢),RE,升级复判(escc01),中,概念外延关系属推理；③法律体系需B3、④唯物主义形态需PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q8
BJ-2023-CY-ERMO,8,③,选择题(题肢),RE,升级复判(escc01),中,概念外延关系属推理；③法律体系需B3、④唯物主义形态需PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q8
BJ-2023-CY-ERMO,8,④,选择题(题肢),RE,升级复判(escc01),中,概念外延关系属推理；③法律体系需B3、④唯物主义形态需PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q8
BJ-2023-CY-YIMO,14,①,选择题(题肢),RE,首判(c005),中,设问“推理合理”考假言推理条件关系；合同效力为法律背景知识（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q14
BJ-2023-CY-YIMO,14,②,选择题(题肢),RE,首判(c005),中,设问“推理合理”考假言推理条件关系；合同效力为法律背景知识（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q14
BJ-2023-CY-YIMO,14,③,选择题(题肢),RE,首判(c005),中,设问“推理合理”考假言推理条件关系；合同效力为法律背景知识（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q14
BJ-2023-CY-YIMO,14,④,选择题(题肢),RE,首判(c005),中,设问“推理合理”考假言推理条件关系；合同效力为法律背景知识（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q14
BJ-2023-CY-YIMO,9,A,选择题(题肢),RE,首判(c004),高,联言判断、假言推理属推理；辩证思维、法治思维属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q9
BJ-2023-CY-YIMO,9,B,选择题(题肢),RE,首判(c004),高,联言判断、假言推理属推理；辩证思维、法治思维属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q9
BJ-2023-DC-ERMO,14,④,选择题(题肢),RE,首判(c005),中,意识能动作用、整体与部分属哲学；辩证思维属思维；归纳推理属推理（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q14
BJ-2023-DC-ERMO,15,B,选择题(题肢),RE,首判(c005),中,正确肢B充要条件假言推理、D求同法属推理；假如式、思维具体抽象属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q15
BJ-2023-DC-ERMO,15,D,选择题(题肢),RE,首判(c005),中,正确肢B充要条件假言推理、D求同法属推理；假如式、思维具体抽象属思维（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q15
BJ-2023-DC-YIMO,14,A,选择题(题肢),RE,首判(c006),高,判断类型与概念周延性，属推理宝典概念判断（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q14
BJ-2023-DC-YIMO,14,B,选择题(题肢),RE,首判(c006),高,判断类型与概念周延性，属推理宝典概念判断（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q14
BJ-2023-DC-YIMO,14,C,选择题(题肢),RE,首判(c006),高,判断类型与概念周延性，属推理宝典概念判断（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q14
BJ-2023-DC-YIMO,14,D,选择题(题肢),RE,首判(c006),高,判断类型与概念周延性，属推理宝典概念判断（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q14
BJ-2023-DC-YIMO,15,A,选择题(题肢),RE,金标(gold_final),中,支持论证的推理题，考前提与结论逻辑联系（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q15
BJ-2023-DC-YIMO,15,B,选择题(题肢),RE,金标(gold_final),中,支持论证的推理题，考前提与结论逻辑联系（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q15
BJ-2023-DC-YIMO,15,C,选择题(题肢),RE,金标(gold_final),中,支持论证的推理题，考前提与结论逻辑联系（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q15
BJ-2023-DC-YIMO,15,D,选择题(题肢),RE,金标(gold_final),中,支持论证的推理题，考前提与结论逻辑联系（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q15
BJ-2023-FT-ERMO,5,A,选择题(题肢),RE,首判(c006),高,同一律、矛盾律、排中律（两不可）判断，属推理宝典逻辑规律（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q5
BJ-2023-FT-ERMO,5,B,选择题(题肢),RE,首判(c006),高,同一律、矛盾律、排中律（两不可）判断，属推理宝典逻辑规律（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q5
BJ-2023-FT-ERMO,5,C,选择题(题肢),RE,首判(c006),高,同一律、矛盾律、排中律（两不可）判断，属推理宝典逻辑规律（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q5
BJ-2023-FT-ERMO,5,D,选择题(题肢),RE,首判(c006),高,同一律、矛盾律、排中律（两不可）判断，属推理宝典逻辑规律（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q5
BJ-2023-FT-YIMO,11,A,选择题(题肢),RE,首判(c007),高,性质判断换质位推理（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q11
BJ-2023-FT-YIMO,11,B,选择题(题肢),RE,首判(c007),高,性质判断换质位推理（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q11
BJ-2023-FT-YIMO,11,C,选择题(题肢),RE,首判(c007),高,性质判断换质位推理（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q11
BJ-2023-FT-YIMO,11,D,选择题(题肢),RE,首判(c007),高,性质判断换质位推理（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q11
BJ-2023-FT-YIMO,12,①,选择题(题肢),RE,首判(c007),高,必要条件假言判断的等值推论（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q12
BJ-2023-FT-YIMO,12,②,选择题(题肢),RE,首判(c007),高,必要条件假言判断的等值推论（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q12
BJ-2023-FT-YIMO,12,③,选择题(题肢),RE,首判(c007),高,必要条件假言判断的等值推论（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q12
