unit_id,qid,exam_id_raw,exam_id_canonical,num,type,subq,grain,content_fingerprint,script_tier,归属_B1,归属_B2,归属_B3,归属_PH,归属_CU,归属_X1,归属_X2,归属_MI,归属_RE,admission,evidence,evidence_detail,downgrade_notes,dup_of,dup_covered_by,conflict_script_out,identity_redirect,canonical_qid,rule_version,source,ruled
BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,1,选择题,,整题,00fd6af7cf9e83b0,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,OUT,OUT,OUT,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q1,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,2,选择题,,整题,e19a0936f278713f,不明,OUT,MAYBE,COLLECTED,MAYBE,MAYBE,OUT,OUT,OUT,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q2,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,3,选择题,,整题,fddb541836876236,不明,OUT,MAYBE,COLLECTED,MAYBE,MAYBE,MAYBE,OUT,MAYBE,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q3,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,4,选择题,,整题,9727fe20b02043d3,不明,OUT,COLLECTED,COLLECTED,MAYBE,MAYBE,OUT,OUT,MAYBE,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q4,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,5,选择题,,整题,30f04dc5e12610e0,不明,OUT,MAYBE,MAYBE,MAYBE,IN,OUT,OUT,MAYBE,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q5,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,6,选择题,,整题,a7c1249e5cbb2ef2,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,OUT,MAYBE,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q6,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,7,选择题,,整题,53bd600d610ad6fd,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,OUT,OUT,MAYBE,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q7,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,8,选择题,,整题,481f9563ad85d722,倾向,OUT,COLLECTED,MAYBE,MAYBE,OUT,OUT,OUT,OUT,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q8,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,9,选择题,,整题,0727e5c9f2883b58,不明,OUT,COLLECTED,MAYBE,MAYBE,MAYBE,OUT,MAYBE,OUT,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q9,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,10,选择题,,整题,4c0d566bf6b22d15,倾向,OUT,COLLECTED,MAYBE,OUT,OUT,OUT,MAYBE,OUT,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q10,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
