卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2020-BJ-GAOKAO,7,③,选择题(题肢),X2,升级复判(escc01),中,②公共资源不按市场原则配置属B2；③隐私权、④合法性审查属法治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q7
BJ-2020-BJ-GAOKAO,7,④,选择题(题肢),X2,升级复判(escc01),中,②公共资源不按市场原则配置属B2；③隐私权、④合法性审查属法治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q7
BJ-2022-BJ-GAOKAO,2,①,选择题(题肢),X2,升级复判(escc01),低,②国家治理制度安排；④共同富裕属B2；CU仅劳模激励弱角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2022-BJ-GAOKAO-Q2
BJ-2023-BJ-GAOKAO,9,①,选择题(题肢),X2,首判(c003),中,②权责统一、③④便民政府与以人民为中心属B3；①民事自愿原则属X2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-BJ-GAOKAO-Q9
BJ-2023-CY-ERMO,13,①,选择题(题肢),X2,金标(gold_final),高,继承、遗嘱、意定监护，法律与生活（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q13
BJ-2023-CY-ERMO,13,②,选择题(题肢),X2,金标(gold_final),高,继承、遗嘱、意定监护，法律与生活（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q13
BJ-2023-CY-ERMO,13,③,选择题(题肢),X2,金标(gold_final),高,继承、遗嘱、意定监护，法律与生活（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q13
BJ-2023-CY-ERMO,13,④,选择题(题肢),X2,金标(gold_final),高,继承、遗嘱、意定监护，法律与生活（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q13
BJ-2023-CY-ERMO,14,A,选择题(题肢),X2,首判(c004),高,专利与商业秘密保护比较，属选必二知识产权（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q14
BJ-2023-CY-ERMO,14,B,选择题(题肢),X2,首判(c004),高,专利与商业秘密保护比较，属选必二知识产权（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q14
BJ-2023-CY-ERMO,14,C,选择题(题肢),X2,首判(c004),高,专利与商业秘密保护比较，属选必二知识产权（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q14
BJ-2023-CY-ERMO,14,D,选择题(题肢),X2,首判(c004),高,专利与商业秘密保护比较，属选必二知识产权（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q14
BJ-2023-CY-ERMO,3,①,选择题(题肢),X2,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q3
BJ-2023-CY-ERMO,3,③,选择题(题肢),X2,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q3
BJ-2023-CY-ERMO,3,④,选择题(题肢),X2,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q3
BJ-2023-CY-YIMO,13,A,选择题(题肢),X2,首判(c005),高,笔名参照姓名权保护、著作权、民法原则，属法律与生活（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q13
BJ-2023-CY-YIMO,13,B,选择题(题肢),X2,首判(c005),高,笔名参照姓名权保护、著作权、民法原则，属法律与生活（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q13
BJ-2023-CY-YIMO,13,C,选择题(题肢),X2,首判(c005),高,笔名参照姓名权保护、著作权、民法原则，属法律与生活（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q13
