assembly_id,assembly_source_id,assembly_rel_path,block_index,line_range,chars,status,matched_exam_id,matched_question_id,evidence,best_overlap,second_overlap,margin,preview
ASM-2024届各区一模试题分类汇编必修1,S14501f7fbb96,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,1,1-14,504,已定位实际出处（汇编内标注）,BJ-2024-SJS-YIMO,BJ-2024-SJS-YIMO-Q1,汇编正文标注 （2024石景山一模1）,0.4491,0.4425,0.0066,1.（2024石景山一模1） “军叫工农革命，旗号镰刀斧头。”困难重重的时刻，如何使一支成分复杂的工农武装脱胎换骨成为新型人民军队？从南昌起义到三湾改编再到古田会议，终于给出了历史的回答。今天，无论使命任务如何变化，人民军队都不能忘记自己的“根”。这启示我们 ①保证党领导人民有效治理国家，需要坚持依法执政 ②坚持党对军
ASM-2024届各区一模试题分类汇编必修1,S14501f7fbb96,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,3,26-32,283,已定位实际出处（汇编内标注）,BJ-2024-FT-YIMO,BJ-2024-FT-YIMO-Q1,汇编正文标注 （2024丰台一模1）,0.7422,0.4844,0.2578,"3.（2024丰台一模1）“每一代人有每一代人的长征路,每一代人都要走好自己的长征路。”长征这一惊天动地的革命壮举,是中国共产党和红军谱写的壮丽史诗,是中华民族伟大复兴历史进程中的巍峨丰碑。新时代,各地围绕再走“长征路”、再写“英雄谱”、再现“红飘带”开展了丰富多彩的活动。开展这些活动 ①在回望长征历程中铭记革命先辈丰"
ASM-2024届各区一模试题分类汇编必修1,S14501f7fbb96,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,4,32-38,255,已定位实际出处（汇编内标注）,BJ-2024-HD-YIMO,BJ-2024-HD-YIMO-Q1,汇编正文标注 (2024海淀一模1),0.8814,0.0678,0.8136,4.(2024海淀一模1)栉风沐雨，浴血淬火。90年前，中共中央和中央红军从江西瑞金等地出发，从巧渡金沙江到强渡大渡河，从飞夺泸定桥到翻雪山、过草地，长征故事广为流传，长征精神已成为中国共产党人精神谱系中的宝贵财富。站在新的历史方位，走好新时代的长征路，需要 ①厚植为民情怀，着力践行以人民为中心的发展思想 ②坚守革命信
ASM-2024届各区一模试题分类汇编必修1,S14501f7fbb96,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,5,38-67,875,已定位实际出处（文本比对）,BJ-2024-HD-YIMO,BJ-2024-HD-YIMO-Q20,6-gram 重叠 0.7231，领先次佳 0.6313,0.7231,0.0918,0.6313,5.（2024海淀一模20（9分））开展党史学习教育，以史鉴今、资政育人。 2024年2月初，中共中央印发《党史学习教育工作条例》，并发出通知，要求各地区各部门认真遵照执行。 党史学习教育工作条例 <!-- 表格 2（1 行） --> | 第二十一条 用好革命博物馆、纪念馆、党史馆、烈士纪念设施、革命旧址等红色资源，保
ASM-2024届各区一模试题分类汇编必修1,S14501f7fbb96,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,6,80-96,344,已定位实际出处（汇编内标注）,BJ-2024-XC-YIMO,BJ-2024-XC-YIMO-Q1,汇编正文标注 （2024西城一模1）,0.9585,0.0383,0.9201,6.（2024西城一模1） 中国经济何以“磁力”不减？陕西杨凌的小麦种子怎样翻山越岭，在哈萨克斯坦落地生根？巴西铁矿石如何在中国炼出“绿色”钢铁？“中国建造”为什么能又快又好？在多语种系列短视频《在中国寻找答案》（第三季）中，来自9个国家的主持人与融入中国工作生活的国际“打工人”一起踏上“在中国寻找答案”的旅程。假如主
ASM-2024届各区一模试题分类汇编必修1,S14501f7fbb96,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,7,96-105,298,已定位实际出处（汇编内标注）,BJ-2024-SJS-YIMO,BJ-2024-SJS-YIMO-Q1,汇编正文标注 （2024石景山一模1）,0.9438,0.0482,0.8956,7.（2024石景山一模1） “党指挥枪”的三个历史节点示意图 “军叫工农革命，旗号镰刀斧头。”困难重重的时刻，如何使一支成分复杂的工农武 装脱胎换骨成为新型人民军队？从南昌起义到三湾改编再到古田会议，终于给出了 历史的回答。今天，无论使命任务如何变化，人民军队都不能忘记自己的“根”。 这启示我们 ①保证党领导人民有效
ASM-2024届各区一模试题分类汇编必修1,S14501f7fbb96,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,8,105-114,484,已定位实际出处（汇编内标注）,BJ-2024-SJS-YIMO,BJ-2024-SJS-YIMO-Q20,汇编正文标注 （2024石景山一模20）,0.9424,0.1391,0.8034,8.（2024石景山一模20）中国式现代化是强国建设、民族复兴的康庄大道。 中国式现代化既有各国现代化的共同特征，更有基于自己国情的鲜明特色。党的二十大报告明确概括了中国式现代化五个方面的中国特色，深刻揭示了中国式现代化的科 学内涵。 中国共产党领导人民前赴后继奋斗了百余年，为国家发展创造了诸多战略性有利条 件，使得中
ASM-2024届各区一模试题分类汇编必修1,S14501f7fbb96,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,9,125-131,277,已解析出处但本库无此卷（原料缺口）,BJ-2024-MTG-YIMO,,汇编标注 (2024门头沟一模7)；该卷不在本库（已核实工作区与全部已授权原料根均无此卷）,0.0905,0.0617,0.0288,9.(2024门头沟一模7)党的二十大后，党中央对《中国共产党纪律处分条例》进行了第三次修订，此次修订是将党章要求具体化为纪律规定的实际行动，是实现和其他党内法规、国家法律相衔接的生动体现，也是释放出以严明纪律管全党、治全党的鲜明信号。对此理解正确的是 ①全面从严治党是推进党的建设新的伟大工程的必然要求 ②党坚持依法行
ASM-2024届各区一模试题分类汇编必修2 ,S3965bc306d35,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,1,3-17,573,已定位实际出处（汇编内标注）,BJ-2024-FT-YIMO,BJ-2024-FT-YIMO-Q12,汇编正文标注 （2024丰台一模12）,0.3327,0.0523,0.2804,"1.（2024丰台一模12）围绕促进民营经济发展壮大,一系列重磅政策出台落地,破除壁垒、要素支持、保护权益，民营经济恢复向好发展因素持续累积,展现出强大的经济韧性和活力。关于发展民营经济,下列理解正确的是 ①民营企业要制定正确的经营战略,持续提质增效,追求高质量发展 ②政府深化要素市场化配置改革，有利于民营企业公平参与"
ASM-2024届各区一模试题分类汇编必修2 ,S3965bc306d35,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,2,17-23,251,已定位实际出处（文本比对）,BJ-2024-HD-YIMO,BJ-2024-HD-YIMO-Q12,6-gram 重叠 0.8836，领先次佳 0.8319,0.8836,0.0517,0.8319,2.（2024海淀12）为更好满足旅客群体多样化、个性化的需求，今年春运期间，高铁列车在增加“静音车厢”的基础上开设“遛娃舱”，供带娃家庭使用。家长可以陪伴孩子一起玩游戏，也可以委托乘务员进行代管。高铁“溜娃舱”的设置 ①体现铁路企业主动作为，为不同需求的旅客带来良好出行体验 ②有利于缓解春运高铁运力的供求矛盾，激发各
