类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id,备注
漏收,BJ-2020-BJ-GAOKAO,2020北京高考,3,选择题,跨,完整题-选择题照收,升级复判(escc01),高,解析点名文化对人的影响；②④农耕文化塑造人；③实践改造自然,BJ-2020-BJ-GAOKAO-Q3,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,11,选择题,跨,完整题-选择题照收,首判(c004),中,党的群众组织力社会号召力、干部队伍属B3；统一思想涉CU；理论创新涉B1/PH,BJ-2023-CY-ERMO-Q11,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,2,选择题,跨,完整题-选择题照收,首判(c004),中,现代化新道路、改革开放方向、民族复兴属B1；人民主体地位PH；精神力量CU,BJ-2023-CY-ERMO-Q2,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,3,选择题,跨,完整题-选择题照收,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI,BJ-2023-CY-ERMO-Q3,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,5,选择题,跨,完整题-选择题照收,首判(c004),中,读书、价值观外化、经典与传统继承属CU；知行合一属PH认识论,BJ-2023-CY-ERMO-Q5,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,6,选择题,主,完整题-选择题照收,首判(c004),高,实践特点、主要矛盾、观念变现实、矛盾斗争性同一性，均PH,BJ-2023-CY-ERMO-Q6,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,8,选择题,跨,完整题-选择题照收,升级复判(escc01),中,概念外延关系属推理；③法律体系需B3、④唯物主义形态需PH,BJ-2023-CY-ERMO-Q8,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,3,选择题,跨,完整题-选择题照收,首判(c004),中,雷锋精神、核心价值观、社会文明程度属CU；劳动奉献实现人生价值属PH,BJ-2023-CY-YIMO-Q3,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,4,选择题,跨,完整题-选择题照收,升级复判(escc01),低,城市更新、减量发展、存量增量属区域经济发展；②结合实际有PH角度,BJ-2023-CY-YIMO-Q4,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,5,选择题,主,完整题-选择题照收,首判(c004),中,意识选择性、自在事物联系、共性个性均PH；影视引发思考稍涉CU,BJ-2023-CY-YIMO-Q5,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,6,选择题,主,完整题-选择题照收,升级复判(escc01),中,感性/理性认识、规律、联系属PH；无经济与社会知识点,BJ-2023-CY-YIMO-Q6,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,7,选择题,主,完整题-选择题照收,首判(c004),中,世界观方法论、实践基础上理论创新属PH；中国化时代化表述涉B1,BJ-2023-CY-YIMO-Q7,
