类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id,备注
漏收,BJ-2023-CY-ERMO,2023朝阳二模,7,选择题,主,完整题-选择题照收,首判(c004),高,单称主项、谓项周延属推理；辩证思维、创新思维属思维,BJ-2023-CY-ERMO-Q7,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,8,选择题,主,完整题-选择题照收,升级复判(escc01),中,概念外延关系属推理；③法律体系需B3、④唯物主义形态需PH,BJ-2023-CY-ERMO-Q8,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,14,选择题,主,完整题-选择题照收,首判(c005),中,设问“推理合理”考假言推理条件关系；合同效力为法律背景知识,BJ-2023-CY-YIMO-Q14,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,9,选择题,主,完整题-选择题照收,首判(c004),高,联言判断、假言推理属推理；辩证思维、法治思维属思维,BJ-2023-CY-YIMO-Q9,
漏收,BJ-2023-DC-ERMO,2023东城二模,14,选择题,跨,完整题-选择题照收,首判(c005),中,意识能动作用、整体与部分属哲学；辩证思维属思维；归纳推理属推理,BJ-2023-DC-ERMO-Q14,
漏收,BJ-2023-DC-ERMO,2023东城二模,15,选择题,主,完整题-选择题照收,首判(c005),中,正确肢B充要条件假言推理、D求同法属推理；假如式、思维具体抽象属思维,BJ-2023-DC-ERMO-Q15,
漏收,BJ-2023-DC-YIMO,2023东城一模,14,选择题,主,完整题-选择题照收,首判(c006),高,判断类型与概念周延性，属推理宝典概念判断,BJ-2023-DC-YIMO-Q14,
漏收,BJ-2023-DC-YIMO,2023东城一模,15,选择题,主,完整题-选择题照收,金标(gold_final),中,支持论证的推理题，考前提与结论逻辑联系,BJ-2023-DC-YIMO-Q15,
漏收,BJ-2023-DC-YIMO,2023东城一模,20(1),主观题,主,完整题-有E1,升级复判(escs01),高,第1问点名形式逻辑；细则为充分条件假言判断与推理规则,BJ-2023-DC-YIMO-Q20#1,
漏收,BJ-2023-FT-ERMO,2023丰台二模,5,选择题,主,完整题-选择题照收,首判(c006),高,同一律、矛盾律、排中律（两不可）判断，属推理宝典逻辑规律,BJ-2023-FT-ERMO-Q5,
漏收,BJ-2023-FT-YIMO,2023丰台一模,11,选择题,主,完整题-选择题照收,首判(c007),高,性质判断换质位推理,BJ-2023-FT-YIMO-Q11,
漏收,BJ-2023-FT-YIMO,2023丰台一模,12,选择题,主,完整题-选择题照收,首判(c007),高,必要条件假言判断的等值推论,BJ-2023-FT-YIMO-Q12,
漏收,BJ-2023-FT-YIMO,2023丰台一模,7,选择题,跨,完整题-选择题照收,首判(c007),中,联系客观性、实践延伸认识器官属哲学；④充分条件属推理,BJ-2023-FT-YIMO-Q7,
漏收,BJ-2023-HD-ERMO,2023海淀二模,5,选择题,主,完整题-选择题照收,首判(c007),高,排中律、矛盾律与真假推理,BJ-2023-HD-ERMO-Q5,
漏收,BJ-2023-HD-YIMO,2023海淀一模,8,选择题,主,完整题-选择题照收,首判(c009),高,设问点名演绎推理，考负判断等值、必要条件、三段论,BJ-2023-HD-YIMO-Q8,
漏收,BJ-2023-HD-YIMO,2023海淀一模,9,选择题,主,完整题-选择题照收,首判(c009),高,必要条件假言、类比推理、归纳推理及其或然性,BJ-2023-HD-YIMO-Q9,
漏收,BJ-2023-XC-ERMO,2023西城二模,12,选择题,主,完整题-选择题照收,首判(c010),高,矛盾律、定义规则、三段论否定前提、假言推理，纯推理,BJ-2023-XC-ERMO-Q12,
漏收,BJ-2023-XC-YIMO,2023西城一模,12,选择题,主,完整题-选择题照收,首判(c011),高,概念外延关系＋性质判断真假推断，纯推理,BJ-2023-XC-YIMO-Q12,
漏收,BJ-2023-XC-YIMO,2023西城一模,21(1),主观题,主,完整题-有E1,首判(s012),高,问归纳推理形式及提高可靠性；细则完全/不完全归纳、因果,BJ-2023-XC-YIMO-Q21#1,
漏收,BJ-2023-XC-YIMO,2023西城一模,21(2),主观题,主,完整题-有E1,首判(s012),高,假言推理有效式列举；细则给充分、必要条件推理示例,BJ-2023-XC-YIMO-Q21#2,
漏收,BJ-2024-DC-ERMO,2024东城二模,11,选择题,跨,完整题-选择题照收,首判(c015),中,A属种关系为推理；定性分析、一分为二、辩证分析属思维，C兼涉哲学,BJ-2024-DC-ERMO-Q11,
漏收,BJ-2024-DC-ERMO,2024东城二模,9,选择题,主,完整题-选择题照收,首判(c015),高,必要条件与性质判断推理，必然成立结论，属推理,BJ-2024-DC-ERMO-Q9,
漏收,BJ-2024-XC-YIMO,2024西城一模,13,选择题,跨,完整题-选择题照收,首判(c023),高,联想思维属创新思维；C判断串联、D或然推理属推理,BJ-2024-XC-YIMO-Q13,
漏收,BJ-2025-BJ-GAOKAO,2025北京高考,7,选择题,跨,完整题-选择题照收,首判(c024),高,正确肢超前思维、C联想思维属思维；A判断语言形式、B语词概念属推理,BJ-2025-BJ-GAOKAO-Q7,
漏收,BJ-2025-CY-ERMO,2025朝阳二模,15,选择题,跨,完整题-选择题照收,首判(c026),中,国际组织分类、大国担当、国际影响力属X1；①除非否则属推理,BJ-2025-CY-ERMO-Q15,
漏收,BJ-2025-XC-YIMO,2025西城一模,7,选择题,跨,完整题-选择题照收,首判(c039),中,形象思维、动态辩证思维属思维；A群众路线属PH；D一般到个别涉推理,BJ-2025-XC-YIMO-Q7,
漏收,BJ-2026-CP-ERMO,2026昌平二模,5,选择题,主,完整题-选择题照收,首判(c041),高,概念外延关系（交叉、属种、矛盾、反对）属推理,BJ-2026-CP-ERMO-Q5,
