unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_MI,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO,1,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO,2,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO,8,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO,9,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO,15,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q1,BJ-2024-CY-QIZHONG-Q1,BJ-2024-CY-QIZHONG,1,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q2,BJ-2024-CY-QIZHONG-Q2,BJ-2024-CY-QIZHONG,2,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG,3,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG,6,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG,15,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q20#1,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
