类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id,备注
漏收,BJ-2022-BJ-GAOKAO,2022北京高考,21,主观题,跨,完整题-有E1,升级复判(escs01),中,综合运用所学；细则常用知识含矛盾实践辩证否定、传统文化、自我革命、新发展理念等,BJ-2022-BJ-GAOKAO-Q21,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,3,选择题,跨,完整题-选择题照收,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI,BJ-2023-CY-ERMO-Q3,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,7,选择题,主,完整题-选择题照收,首判(c004),高,单称主项、谓项周延属推理；辩证思维、创新思维属思维,BJ-2023-CY-ERMO-Q7,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,8,选择题,主,完整题-选择题照收,首判(c004),中,科学思维客观性、创新能力属思维；如实反映、违背规律涉PH,BJ-2023-CY-YIMO-Q8,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,9,选择题,跨,完整题-选择题照收,首判(c004),高,联言判断、假言推理属推理；辩证思维、法治思维属思维,BJ-2023-CY-YIMO-Q9,
漏收,BJ-2023-DC-ERMO,2023东城二模,14,选择题,跨,完整题-选择题照收,首判(c005),中,意识能动作用、整体与部分属哲学；辩证思维属思维；归纳推理属推理,BJ-2023-DC-ERMO-Q14,
漏收,BJ-2023-DC-ERMO,2023东城二模,15,选择题,跨,完整题-选择题照收,首判(c005),中,正确肢B充要条件假言推理、D求同法属推理；假如式、思维具体抽象属思维,BJ-2023-DC-ERMO-Q15,
漏收,BJ-2023-DC-ERMO,2023东城二模,5,选择题,跨,完整题-选择题照收,首判(c005),中,②民族文化展现属文化，③发散与聚合思维属思维；答案C,BJ-2023-DC-ERMO-Q5,
漏收,BJ-2023-DC-YIMO,2023东城一模,1,选择题,跨,完整题-选择题照收,升级复判(escc01),低,主要矛盾、总体趋势属PH；战略思维可涉思维书；①党的领导,BJ-2023-DC-YIMO-Q1,
漏收,BJ-2023-DC-YIMO,2023东城一模,13,选择题,跨,完整题-选择题照收,首判(c006),中,利弊转化、辩证否定属哲学；超前思维涉思维；④立法规范属B3,BJ-2023-DC-YIMO-Q13,
