book,uid,type,exam,exam_used_by_book,setq_tail,evidence
必修四哲学,BJ-2025-CY-ERMO-Q9,选择题,BJ-2025-CY-ERMO,是,"点,在人民意愿的有效实现。湖南八旬老人随手写的建议，甘肃临""居民视频提的诉求……凝结升华成法规条文，映照着中国式民主的广泛、真实、管用。 让人民广泛深入参与民主",词典判给本模块题肢2个；位置先验0.13；书稿已收:B3
必修四哲学,BJ-2023-FT-ERMO-Q3,选择题,BJ-2023-FT-ERMO,否（本书无此卷任何题）,3. 60年来，学雷锋活动在全国持续深入开展，雷锋的名字家喻户晓，雷锋的事迹深入人心，雷锋精神滋养着一代代中华儿女的心灵。雷锋精神 ,词典判给本模块题肢1个；位置先验0.59
必修四哲学,BJ-2023-CY-YIMO-Q3,选择题,BJ-2023-CY-YIMO,否（本书无此卷任何题）,可表述为“上”与“善” ，在工作上、学习上和生活上体现了一种“向上”的人生姿态；在理想信念上、价值取向上、人际关系上体现了一种“向善”的价值追求。开展学雷锋活动,词典判给本模块题肢2个；位置先验0.59
必修四哲学,BJ-2024-CY-YIMO-Q18(2),主观题,BJ-2024-CY-YIMO,是,结合材料二，运用《哲学与文化》 知识，谈谈对“ 让科学普及与科技创新‘ 两翼齐 飞’”的认识。(8分),设问点名:《哲学与文化》
必修四哲学,BJ-2023-CY-ERMO-Q16(1),主观题,BJ-2023-CY-ERMO,否（本书无此卷任何题）,结合材料一，从哲学角度说明，运用系统观念用好水资源需要注意的问题。 （6 分）,设问点名:哲学角度
必修四哲学,BJ-2023-HD-ERMO-Q20(2),主观题,BJ-2023-HD-ERMO,否（本书无此卷任何题）,结合材料一，从哲学角度分析我国为何持续推进网络空间法治化。 （6 分）,设问点名:哲学角度；书稿已收:B2
必修四哲学,BJ-2023-XC-YIMO-Q16,主观题,BJ-2023-XC-YIMO,否（本书无此卷任何题）,结合材料，从哲学角度说明如何提出科学有意义的建议。,设问点名:哲学角度
必修四哲学,BJ-2023-XC-ERMO-Q21(2),主观题,BJ-2023-XC-ERMO,否（本书无此卷任何题）,从哲学角度，分析“共同但有区别的责任”这一原则的合理性。（8分）,设问点名:哲学角度
必修四哲学,BJ-2023-XC-ERMO-Q4,选择题,BJ-2023-XC-ERMO,否（本书无此卷任何题）,全国人大2023年立法项目。未来，金融稳定法将着力健全系统高效的金融风险防范、化解和处置制度，并与现行法律制度衔接，守牢系统性金融安全的底线。金融稳定法的制定 ,词典判给本模块题肢2个；位置先验0.60；书稿已收:B3
必修四哲学,BJ-2023-XC-ERMO-Q5,选择题,BJ-2023-XC-ERMO,否（本书无此卷任何题）,把生长空间“还给”古树。如今，古树焕发新生，当地也从古树保护中找到了新的发展思路——通过全镇16棵古树串联村落，开发古树文化旅游线路，打造“古树名镇”。 可见 ,词典判给本模块题肢2个；位置先验0.45；书稿已收:B2
必修四哲学,BJ-2024-FT-ERMO-Q20,主观题,BJ-2024-FT-ERMO,是,运用哲学知识，谈谈你对“统筹发展和安全”的认识。,设问点名:哲学知识
必修四哲学,BJ-2024-HD-ERMO-Q3,选择题,BJ-2024-HD-ERMO,是,念侧重对现实的重现，中国的绘画理念则强调意象和意境。莫奈的《睡莲》采用中国画的线条和散点透视法；中国近代海派画家则吸收西方绘画的焦点透视以及明暗变化。由此可见 ,词典判给本模块题肢1个；位置先验0.60；书稿已收:CU
必修四哲学,BJ-2026-HD-YIMO-Q3,选择题,BJ-2026-HD-YIMO,是,“和平是白天鹅的翅膀，是翅膀掠过宁静的湖水， 是水底映出的云彩；和平是开向四方的门，是门 里圓桌上斟滿的红酒，是酒上照耀的灯⋯•” 对上述两则材料分析正确的有 ,词典判给本模块题肢1个；位置先验0.59
必修四哲学,BJ-2026-CP-ERMO-Q3,选择题,BJ-2026-CP-ERMO,否（本书无此卷任何题）,3. 当,词典判给本模块题肢4个；位置先验0.59
必修四哲学,BJ-2026-CP-QIMO-Q3,选择题,BJ-2026-CP-QIMO,否（本书无此卷任何题）,3. 近年来，多地政府推出节假日机关食堂错时开放、机关大院免费停车，符合法定条件的轻微交通违法行为“首违不罚”等便民惠客举措。这些举措（   ） ,词典判给本模块题肢3个；位置先验0.62
必修四哲学,BJ-2026-BJ-GAOKAO-Q4,选择题,BJ-2026-BJ-GAOKAO,否（本书无此卷任何题）,耕经济与崇文重教风尚长期融合发展的结果。如今，耕读文化所依赖的经济基础已大为不同，但其蕴含的价值理念仍有重要意义，内涵也随着时代变迁不断丰富。下列选项正确的是 ,词典判给本模块题肢1个；位置先验0.61；书稿已收:CU
必修四哲学,BJ-2026-BJ-GAOKAO-Q5,选择题,BJ-2026-BJ-GAOKAO,否（本书无此卷任何题）,项链”。从环路到大街小巷，月季常开，满城繁花成为城市名片。这是数代园林人持续科技攻关、数十个部门协同努力的结果，也承载着市民对美好生活的向往。下列选项正确的是 ,词典判给本模块题肢2个；位置先验0.48
必修四文化,BJ-2023-FT-YIMO-Q5,选择题,BJ-2023-FT-YIMO,否（本书无此卷任何题）,作精良化的高质量影片供给，在点亮新春消费市场的同时也传递了美好的东方审美情趣、现代的中国价值理念，彰显了中华民族的“精神筋骨”。“高质量”的影片通常（   ） ,词典判给本模块题肢2个；位置先验0.32
必修四文化,BJ-2024-CY-QIZHONG-Q7,选择题,BJ-2024-CY-QIZHONG,是," 7 月,联合国教科文组织第 46 届世界遗产大会通过决议,将“北京中轴线———中国理想都城秩序的杰作”列入《世界遗产名录》。 据此,小刘同学写出了以下四个判断",词典判给本模块题肢2个；位置先验0.12；书稿已收:RE
必修四文化,BJ-2023-FT-ERMO-Q3,选择题,BJ-2023-FT-ERMO,否（本书无此卷任何题）,3. 60年来，学雷锋活动在全国持续深入开展，雷锋的名字家喻户晓，雷锋的事迹深入人心，雷锋精神滋养着一代代中华儿女的心灵。雷锋精神 ,词典判给本模块题肢2个；位置先验0.55
必修四文化,BJ-2023-CY-YIMO-Q3,选择题,BJ-2023-CY-YIMO,否（本书无此卷任何题）,可表述为“上”与“善” ，在工作上、学习上和生活上体现了一种“向上”的人生姿态；在理想信念上、价值取向上、人际关系上体现了一种“向善”的价值追求。开展学雷锋活动,词典判给本模块题肢1个；位置先验0.55
必修四文化,BJ-2023-CY-YIMO-Q16,主观题,BJ-2023-CY-YIMO,否（本书无此卷任何题）,结合材料，运用《哲学与文化》知识，说明崇雍大街的“变身”是如何让人们更好感受到老北京文化味道的。,设问点名:《哲学与文化》
必修四文化,BJ-2024-CY-YIMO-Q2,选择题,BJ-2024-CY-YIMO,是,成式人工智能，制作了演绎中华经典古诗词的动画节目《千秋诗颂》。运用生 成式人工智能制作这样的动画节目，制作效率比运用传统动画制作技术提升三倍。生成 式人工智能 ,词典判给本模块题肢1个；位置先验0.64；书稿已收:B2
必修四文化,BJ-2023-DC-ERMO-Q16,主观题,BJ-2023-DC-ERMO,否（本书无此卷任何题）,结合材料，运用《哲学与文化》知识，谈谈文明何以成东城的内在气质。,设问点名:《哲学与文化》
必修四文化,BJ-2023-CY-ERMO-Q20(2),主观题,BJ-2023-CY-ERMO,否（本书无此卷任何题）,全球文明倡议提出“以文明交流超越文明隔阂、文明互鉴超越文明冲突、文明包容超越文明优越。”结合材料二，从文化角度，谈谈你对这句话的理解。（8 分）,设问点名:文化角度
必修四文化,BJ-2023-XC-YIMO-Q4,选择题,BJ-2023-XC-YIMO,否（本书无此卷任何题）,源档案向全球开放。用户可以下载素材进行再创作，将作品上传入库后能够获得认证和确权保护，以后别人使用入库作品，创作者还能获得“分红”。 “数字敦煌·开放素材库” ,词典判给本模块题肢3个；位置先验0.47；书稿已收:B2
必修四文化,BJ-2023-HD-QIZHONG-Q3,选择题,BJ-2023-HD-QIZHONG,否（本书无此卷任何题）,本原理同中国具体实际、同中华优秀传统文化相结合是必由之路。这是我们在探索中国特色社会主义道路中得出的规律性认识。”把马克思主义基本原理同中华优秀传统文化相结合 ,词典判给本模块题肢2个；位置先验0.31
必修四文化,BJ-2026-SJS-YIMO-Q5,选择题,BJ-2026-SJS-YIMO,是,、戏剧、曲艺和杂技； …… 属于非物质文化遗产组成部分的实物和场所，凡属文物的，适用《中华人民共和国文物保护法》的有关规定。 据此，下列选项正确的是（   ） ,词典判给本模块题肢3个；位置先验0.33；书稿已收:RE
