段落序号（送印稿正文顺序）,书中写法,按届别应写,是否要改,段落文字截取
12790,2025朝阳期中2,2026朝阳期中2,要改,1、发挥超大规模市场优势→以外循环牵引内循环→推动建立新发展格局。 | （　） | 2026延庆一模14 | 2、海南自
12790,2025朝阳期中2,2026朝阳期中2,要改,1、发挥超大规模市场优势→以外循环牵引内循环→推动建立新发展格局。 | （　） | 2026延庆一模14 | 2、海南自
12790,2025朝阳期中2,2026朝阳期中2,要改,1、发挥超大规模市场优势→以外循环牵引内循环→推动建立新发展格局。 | （　） | 2026延庆一模14 | 2、海南自
12790,2024朝阳期中13,2025朝阳期中13,要改,1、发挥超大规模市场优势→以外循环牵引内循环→推动建立新发展格局。 | （　） | 2026延庆一模14 | 2、海南自
12793,2024海淀期中11,2024海淀期中11,不改,72、政府组织各类养老服务市场主体设计形成普惠养老服务供给清单，是从消费端满足多样化、多层次的养老服务需求。 | （　）
12793,2025朝阳期中1,2026朝阳期中1,要改,72、政府组织各类养老服务市场主体设计形成普惠养老服务供给清单，是从消费端满足多样化、多层次的养老服务需求。 | （　）
12793,2024海淀期中11,2024海淀期中11,不改,72、政府组织各类养老服务市场主体设计形成普惠养老服务供给清单，是从消费端满足多样化、多层次的养老服务需求。 | （　）
12793,2025朝阳期中1,2026朝阳期中1,要改,72、政府组织各类养老服务市场主体设计形成普惠养老服务供给清单，是从消费端满足多样化、多层次的养老服务需求。 | （　）
12793,2024海淀期中11,2024海淀期中11,不改,72、政府组织各类养老服务市场主体设计形成普惠养老服务供给清单，是从消费端满足多样化、多层次的养老服务需求。 | （　）
12795,2026海淀期中5,2026海淀期中5,不改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | （　） | 2025西城
12795,2026海淀期中12,2026海淀期中12,不改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | （　） | 2025西城
12795,2026海淀期中5,2026海淀期中5,不改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | （　） | 2025西城
12795,2025朝阳期中6,2026朝阳期中6,要改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | （　） | 2025西城
12795,2025朝阳期中6,2026朝阳期中6,要改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | （　） | 2025西城
12795,2026海淀期中12,2026海淀期中12,不改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | （　） | 2025西城
12795,2024海淀期中4,2024海淀期中4,不改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | （　） | 2025西城
12795,2026海淀期中5,2026海淀期中5,不改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | （　） | 2025西城
12797,2024海淀期中6,2024海淀期中6,不改,345、政府提高物流企业税率，促进物流行业降本增效。 | （　） | 2025延庆一模12 | 346、健全社会救助体系
12797,2024海淀期中4,2024海淀期中4,不改,345、政府提高物流企业税率，促进物流行业降本增效。 | （　） | 2025延庆一模12 | 346、健全社会救助体系
12797,2025朝阳期中6,2026朝阳期中6,要改,345、政府提高物流企业税率，促进物流行业降本增效。 | （　） | 2025延庆一模12 | 346、健全社会救助体系
12797,2024海淀期中4,2024海淀期中4,不改,345、政府提高物流企业税率，促进物流行业降本增效。 | （　） | 2025延庆一模12 | 346、健全社会救助体系
12799,2024海淀期中6,2024海淀期中6,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 | （　） | 2025西城期末1
12799,2024海淀期中5,2024海淀期中5,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 | （　） | 2025西城期末1
12799,2024海淀期中5,2024海淀期中5,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 | （　） | 2025西城期末1
12799,2024海淀期中6,2024海淀期中6,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 | （　） | 2025西城期末1
12799,2024海淀期中5,2024海淀期中5,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 | （　） | 2025西城期末1
12801,2026海淀期中12,2026海淀期中12,不改,587、我国在不断追求实现社会的高福利 | （　） | 2023丰台一模4 | 588、配套的劳动权益保障法律法规与时俱
12801,2024海淀期中4,2024海淀期中4,不改,587、我国在不断追求实现社会的高福利 | （　） | 2023丰台一模4 | 588、配套的劳动权益保障法律法规与时俱
12803,2024海淀期中11,2024海淀期中11,不改,636、社区小餐馆满足人们的生活需要，说明小餐馆已经成为改善民生的主要力量。 | （　） | 2023海淀一模7 | 6
12803,2026海淀期中12,2026海淀期中12,不改,636、社区小餐馆满足人们的生活需要，说明小餐馆已经成为改善民生的主要力量。 | （　） | 2023海淀一模7 | 6
12803,2026海淀期中5,2024海淀期中5,要改,636、社区小餐馆满足人们的生活需要，说明小餐馆已经成为改善民生的主要力量。 | （　） | 2023海淀一模7 | 6
12803,2024海淀期中6,2024海淀期中6,不改,636、社区小餐馆满足人们的生活需要，说明小餐馆已经成为改善民生的主要力量。 | （　） | 2023海淀一模7 | 6
12810,2025朝阳期中2,2026朝阳期中2,要改,1、发挥超大规模市场优势→以外循环牵引内循环→推动建立新发展格局。 纠正：应以国内大循环为主体，国内国际双循环相互促进。
12810,2025朝阳期中2,2026朝阳期中2,要改,1、发挥超大规模市场优势→以外循环牵引内循环→推动建立新发展格局。 纠正：应以国内大循环为主体，国内国际双循环相互促进。
12810,2025朝阳期中2,2026朝阳期中2,要改,1、发挥超大规模市场优势→以外循环牵引内循环→推动建立新发展格局。 纠正：应以国内大循环为主体，国内国际双循环相互促进。
12810,2024朝阳期中13,2025朝阳期中13,要改,1、发挥超大规模市场优势→以外循环牵引内循环→推动建立新发展格局。 纠正：应以国内大循环为主体，国内国际双循环相互促进。
12813,2024海淀期中11,2024海淀期中11,不改,72、政府组织各类养老服务市场主体设计形成普惠养老服务供给清单，是从消费端满足多样化、多层次的养老服务需求。 纠正：组织
12813,2024海淀期中11,2024海淀期中11,不改,72、政府组织各类养老服务市场主体设计形成普惠养老服务供给清单，是从消费端满足多样化、多层次的养老服务需求。 纠正：组织
12813,2024海淀期中11,2024海淀期中11,不改,72、政府组织各类养老服务市场主体设计形成普惠养老服务供给清单，是从消费端满足多样化、多层次的养老服务需求。 纠正：组织
12815,2026海淀期中12,2026海淀期中12,不改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | 正确 | 2025西城期
12815,2025朝阳期中6,2026朝阳期中6,要改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | 正确 | 2025西城期
12815,2025朝阳期中6,2026朝阳期中6,要改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | 正确 | 2025西城期
12815,2026海淀期中12,2026海淀期中12,不改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | 正确 | 2025西城期
12815,2024海淀期中4,2024海淀期中4,不改,139、第二轮土地承包到期后再延长三十年，坚持和完善农村基本经营制度，进一步深化农村改革。 | 正确 | 2025西城期
12817,2024海淀期中6,2024海淀期中6,不改,345、政府提高物流企业税率，促进物流行业降本增效。 纠正：提高税率增加税负；降本应通过减轻合理负担、完善设施和提升效率
12817,2024海淀期中4,2024海淀期中4,不改,345、政府提高物流企业税率，促进物流行业降本增效。 纠正：提高税率增加税负；降本应通过减轻合理负担、完善设施和提升效率
12817,2025朝阳期中6,2026朝阳期中6,要改,345、政府提高物流企业税率，促进物流行业降本增效。 纠正：提高税率增加税负；降本应通过减轻合理负担、完善设施和提升效率
12817,2024海淀期中4,2024海淀期中4,不改,345、政府提高物流企业税率，促进物流行业降本增效。 纠正：提高税率增加税负；降本应通过减轻合理负担、完善设施和提升效率
12819,2024海淀期中6,2024海淀期中6,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 纠正：出口份额变化本身说明比较优势
12819,2024海淀期中5,2024海淀期中5,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 纠正：出口份额变化本身说明比较优势
12819,2024海淀期中5,2024海淀期中5,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 纠正：出口份额变化本身说明比较优势
12819,2024海淀期中14,2024海淀期中14,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 纠正：出口份额变化本身说明比较优势
12819,2024海淀期中6,2024海淀期中6,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 纠正：出口份额变化本身说明比较优势
12819,2024海淀期中14,2024海淀期中14,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 纠正：出口份额变化本身说明比较优势
12819,2024海淀期中5,2024海淀期中5,不改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 纠正：出口份额变化本身说明比较优势
12819,2026海淀期中14,2024海淀期中14,要改,447、仅凭各类商品出口份额变化，可以推断中国的比较优势保持不变，创新能力不断增强。 纠正：出口份额变化本身说明比较优势
12821,2026海淀期中12,2026海淀期中12,不改,587、我国在不断追求实现社会的高福利纠正：社会福利应与经济社会发展水平、财政能力相适应，不能片面追求高福利。 | 错误
12821,2024海淀期中4,2024海淀期中4,不改,587、我国在不断追求实现社会的高福利纠正：社会福利应与经济社会发展水平、财政能力相适应，不能片面追求高福利。 | 错误
12823,2024海淀期中11,2024海淀期中11,不改,636、社区小餐馆满足人们的生活需要，说明小餐馆已经成为改善民生的主要力量。纠正：小餐馆有助于改善生活服务，但不能据此说
12823,2026海淀期中12,2026海淀期中12,不改,636、社区小餐馆满足人们的生活需要，说明小餐馆已经成为改善民生的主要力量。纠正：小餐馆有助于改善生活服务，但不能据此说
12823,2026海淀期中5,2024海淀期中5,要改,636、社区小餐馆满足人们的生活需要，说明小餐馆已经成为改善民生的主要力量。纠正：小餐馆有助于改善生活服务，但不能据此说
12823,2026海淀期中14,2024海淀期中14,要改,636、社区小餐馆满足人们的生活需要，说明小餐馆已经成为改善民生的主要力量。纠正：小餐馆有助于改善生活服务，但不能据此说
12823,2024海淀期中6,2024海淀期中6,不改,636、社区小餐馆满足人们的生活需要，说明小餐馆已经成为改善民生的主要力量。纠正：小餐馆有助于改善生活服务，但不能据此说
