asset_id,source_id,kind,page,path,note
Sc90c72fbae63-p001,Sc90c72fbae63,page_render,1,assets/Sc90c72fbae63/pages/p001.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p001,Sd71f294a3eff,page_render,1,assets/Sd71f294a3eff/pages/p001.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p002,Sd71f294a3eff,page_render,2,assets/Sd71f294a3eff/pages/p002.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p003,Sd71f294a3eff,page_render,3,assets/Sd71f294a3eff/pages/p003.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p004,Sd71f294a3eff,page_render,4,assets/Sd71f294a3eff/pages/p004.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p005,Sd71f294a3eff,page_render,5,assets/Sd71f294a3eff/pages/p005.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p006,Sd71f294a3eff,page_render,6,assets/Sd71f294a3eff/pages/p006.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p007,Sd71f294a3eff,page_render,7,assets/Sd71f294a3eff/pages/p007.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p008,Sd71f294a3eff,page_render,8,assets/Sd71f294a3eff/pages/p008.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p009,Sd71f294a3eff,page_render,9,assets/Sd71f294a3eff/pages/p009.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-p010,Sd71f294a3eff,page_render,10,assets/Sd71f294a3eff/pages/p010.png,含图表/扫描内容的整页图，供显式打开核验
Sd71f294a3eff-img-000,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-000.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-001,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-001.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-002,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-002.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-003,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-003.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-004,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-004.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-005,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-005.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-006,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-006.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-007,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-007.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-008,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-008.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-009,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-009.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sd71f294a3eff-img-010,Sd71f294a3eff,embedded_image,,assets/Sd71f294a3eff/embedded/img-010.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S037fd592575b-p001,S037fd592575b,page_render,1,assets/S037fd592575b/pages/p001.png,含图表/扫描内容的整页图，供显式打开核验
S037fd592575b-p002,S037fd592575b,page_render,2,assets/S037fd592575b/pages/p002.png,含图表/扫描内容的整页图，供显式打开核验
S878f984441fc-p002,S878f984441fc,page_render,2,assets/S878f984441fc/pages/p002.png,含图表/扫描内容的整页图，供显式打开核验
S878f984441fc-p003,S878f984441fc,page_render,3,assets/S878f984441fc/pages/p003.png,含图表/扫描内容的整页图，供显式打开核验
S878f984441fc-p005,S878f984441fc,page_render,5,assets/S878f984441fc/pages/p005.png,含图表/扫描内容的整页图，供显式打开核验
S878f984441fc-p006,S878f984441fc,page_render,6,assets/S878f984441fc/pages/p006.png,含图表/扫描内容的整页图，供显式打开核验
S878f984441fc-p007,S878f984441fc,page_render,7,assets/S878f984441fc/pages/p007.png,含图表/扫描内容的整页图，供显式打开核验
S878f984441fc-img-000,S878f984441fc,embedded_image,,assets/S878f984441fc/embedded/img-000.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S878f984441fc-img-001,S878f984441fc,embedded_image,,assets/S878f984441fc/embedded/img-001.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S878f984441fc-img-002,S878f984441fc,embedded_image,,assets/S878f984441fc/embedded/img-002.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sb740cc856b44-p003,Sb740cc856b44,page_render,3,assets/Sb740cc856b44/pages/p003.png,含图表/扫描内容的整页图，供显式打开核验
Sb740cc856b44-p004,Sb740cc856b44,page_render,4,assets/Sb740cc856b44/pages/p004.png,含图表/扫描内容的整页图，供显式打开核验
Sb740cc856b44-p005,Sb740cc856b44,page_render,5,assets/Sb740cc856b44/pages/p005.png,含图表/扫描内容的整页图，供显式打开核验
Sb740cc856b44-p006,Sb740cc856b44,page_render,6,assets/Sb740cc856b44/pages/p006.png,含图表/扫描内容的整页图，供显式打开核验
Sb740cc856b44-p007,Sb740cc856b44,page_render,7,assets/Sb740cc856b44/pages/p007.png,含图表/扫描内容的整页图，供显式打开核验
S1e63c7437c16-p001,S1e63c7437c16,page_render,1,assets/S1e63c7437c16/pages/p001.png,含图表/扫描内容的整页图，供显式打开核验
S1e63c7437c16-p002,S1e63c7437c16,page_render,2,assets/S1e63c7437c16/pages/p002.png,含图表/扫描内容的整页图，供显式打开核验
S1e63c7437c16-p003,S1e63c7437c16,page_render,3,assets/S1e63c7437c16/pages/p003.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p001,S74dee7282b3f,page_render,1,assets/S74dee7282b3f/pages/p001.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p002,S74dee7282b3f,page_render,2,assets/S74dee7282b3f/pages/p002.png,含图表/扫描内容的整页图，供显式打开核验
