exam_id,year,school_year,region,institution,grade,stage,paper_type,versions,file_count,has_paper,has_rubric,has_answer,has_lecture,is_assembly,question_count,subq_count,extract_status,notes
ASM-2024届各区一模试题分类汇编必修1,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,1,N,N,N,N,Y,,,pending,
ASM-2024届各区一模试题分类汇编必修2 ,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,1,N,N,N,N,Y,,,pending,
ASM-2024届各区一模试题分类汇编必修3,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,1,N,N,N,N,Y,,,pending,
ASM-2024届各区一模试题分类汇编必修4,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,1,N,N,N,N,Y,,,pending,
ASM-2024届各区一模试题分类汇编选必1,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,1,N,N,N,N,Y,,,pending,
ASM-2024届各区一模试题分类汇编选必2,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,1,N,N,N,N,Y,,,pending,
ASM-2024届各区一模试题分类汇编选必3,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,1,N,N,N,N,Y,,,pending,
ASM-北京2024各区《经济与社会》考题-wlfwlf,2024,2023-2024学年,unknown,unknown,高三,unknown,unknown,,1,N,N,N,N,Y,,,pending,
ASM-北京及2024各区《经济与社会》考题-wlf,2024,2023-2024学年,unknown,unknown,高三,unknown,unknown,,1,N,N,N,N,Y,,,pending,
BJ-2020-BJ-GAOKAO,2020,unknown,北京,unknown,高三,高考,高考真题,教师版18页含7页题面+11页E3；正式评分细则4页/E1,2,Y,Y,Y,N,N,21,,all_available_source_conversion_accepted,21题/100分；教师版18页(E0/E3)、正式评分4页(E1仅Q16-Q21)、32资产；v4 Q2及Q16–Q21定向视觉补录和两项独立内容复核已绑定；合后复验待完成；无个人学生载体；批量验收计划 `claude-bj2020-r2-20260922` 已验收现有来源
