source_id,exam_id,rel_path,format,size,pages,role,role_evidence,is_assembly,year,school_year,region,institution,grade,stage,paper_type,version,exam_id_evidence,in_scope
S55473ddd97c8,BJ-2023-DC-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,pptx,3594272,13,评分材料,路径/文件名含 细则/评标,N,2023,2022-2023学年,东城,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `2023.3高三政治一模统阅-题组长（细则讨论）.pptx` -> 一模; 路径含地区 东城,Y
Sc90c72fbae63,BJ-2023-DC-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,pdf,3014454,1,参考答案,文件名含 答案,N,2023,2022-2023学年,东城,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区一模` -> 一模; 路径含地区 东城,Y
Sd71f294a3eff,BJ-2023-DC-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治试卷.pdf,pdf,24287998,12,原卷,路径/文件名含 试卷/试题/原卷,N,2023,2022-2023学年,东城,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区一模` -> 一模; 路径含地区 东城,Y
Sd68e0801a751,BJ-2023-FT-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/丰台.docx,docx,290159,unknown,教师版,内容核验：含Q1-Q22题面及内附答案/分析/详解；同卷独立原卷/答案/正式细则未闭合,N,2023,2022-2023学年,丰台,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区一模` -> 一模; 路径含地区 丰台,Y
S037fd592575b,BJ-2023-CY-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/朝阳/2023-3-朝阳一模高三政治答案.pdf,pdf,235809,2,参考答案,文件名含 答案,N,2023,2022-2023学年,朝阳,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `2023-3-朝阳一模高三政治答案.pdf` -> 一模; 路径含地区 朝阳,Y
S878f984441fc,BJ-2023-CY-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/朝阳/2023-3-朝阳一模高三政治试题.pdf,pdf,664888,8,原卷,路径/文件名含 试卷/试题/原卷,N,2023,2022-2023学年,朝阳,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `2023-3-朝阳一模高三政治试题.pdf` -> 一模; 路径含地区 朝阳,Y
Sb740cc856b44,BJ-2023-HD-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/海淀/2022-2023年第二学期高三政治期中试题(3).pdf,pdf,733074,8,原卷,路径/文件名含 试卷/试题/原卷,N,2023,2022-2023学年,海淀,unknown,高三,期中,期中考试,,顶层目录 2023模拟题; 最深含阶段段 `2022-2023年第二学期高三政治期中试题(3).pdf` -> 期中; 路径含地区 海淀,Y
S1e63c7437c16,BJ-2023-HD-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/海淀/海淀区2022-2023学年第二学期期练中习高三思想政治参考答案(4).pdf,pdf,230665,3,参考答案,文件名含 答案,N,2023,2022-2023学年,海淀,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区一模` -> 一模; 路径含地区 海淀,Y
S74dee7282b3f,BJ-2023-HD-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/海淀/细则(2).pdf,pdf,11908762,49,评分材料,路径/文件名含 细则/评标,N,2023,2022-2023学年,海淀,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区一模` -> 一模; 路径含地区 海淀,Y
S86c2eb361038,BJ-2023-XC-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/西城/西城-高三政治一模答案.docx,docx,44754,unknown,参考答案,文件名含 答案,N,2023,2022-2023学年,西城,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `西城-高三政治一模答案.docx` -> 一模; 路径含地区 西城,Y
S848e2ed7e079,BJ-2023-XC-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/西城/西城-高三政治一模试卷.pdf,pdf,1152829,9,原卷,路径/文件名含 试卷/试题/原卷,N,2023,2022-2023学年,西城,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `西城-高三政治一模试卷.pdf` -> 一模; 路径含地区 西城,Y
S9140266498fe,BJ-2023-XC-YIMO,2023模拟题/2023各区模拟题(1)/各区一模/西城/西城细则-高三政治一模3-30(1).docx,docx,1645698,unknown,评分材料,路径/文件名含 细则/评标,N,2023,2022-2023学年,西城,unknown,高三,一模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `西城细则-高三政治一模3-30(1).docx` -> 一模; 路径含地区 西城,Y
S184eb642c0ab,BJ-2023-DC-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√东城/东城区2023年度三综合练习（二）思想政治答案.pdf,pdf,2353309,1,参考答案,文件名含 答案,N,2023,2022-2023学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区二模` -> 二模; 路径含地区 东城,Y
Sc8fc293be186,BJ-2023-DC-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√东城/东城区2023年度高三综合练习（二）思想政治试卷.pdf,pdf,20393543,12,原卷,路径/文件名含 试卷/试题/原卷,N,2023,2022-2023学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区二模` -> 二模; 路径含地区 东城,Y
Sd92728609289,BJ-2023-FT-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√丰台/丰台高三政治练习二试卷.pdf,pdf,1793973,10,原卷,路径/文件名含 试卷/试题/原卷,N,2023,2022-2023学年,丰台,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区二模` -> 二模; 路径含地区 丰台,Y
Saccdd9d42a77,BJ-2023-FT-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√丰台/丰台高三政治练习二（答案）.pdf,pdf,183678,2,参考答案,文件名含 答案,N,2023,2022-2023学年,丰台,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区二模` -> 二模; 路径含地区 丰台,Y
S96315fb88e87,BJ-2023-CY-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√朝阳/202305朝阳高三2模政治答案.pdf,pdf,212309,2,参考答案,文件名含 答案,N,2023,2022-2023学年,朝阳,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区二模` -> 二模; 路径含地区 朝阳,Y
