类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id,备注
漏收,BJ-2022-BJ-GAOKAO,2022北京高考,21,主观题,跨,完整题-有E1,升级复判(escs01),中,综合运用所学；细则常用知识含矛盾实践辩证否定、传统文化、自我革命、新发展理念等,BJ-2022-BJ-GAOKAO-Q21,
漏收,BJ-2023-BJ-GAOKAO,2023北京高考,19(2),主观题,主,完整题-有E1,首判(s004),中,设问点名《当代国际政治与经济》；细则含营商环境、新发展理念、产业升级、转方式等B2角度,BJ-2023-BJ-GAOKAO-Q19#2,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,10,选择题,跨,完整题-选择题照收,首判(c004),高,制造业升级、创新驱动、市场准入属B2；贸易壁垒、出口竞争涉X1,BJ-2023-CY-ERMO-Q10,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,15,选择题,主,完整题-选择题照收,首判(c004),高,主权国家与国际组织、政体、伙伴关系、金砖合作均属X1,BJ-2023-CY-ERMO-Q15,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,15,选择题,主,完整题-选择题照收,升级复判(escc01),中,外交宗旨、全球话语体系属X1；B讲好中国故事涉文化传播,BJ-2023-CY-YIMO-Q15,
漏收,BJ-2023-DC-ERMO,2023东城二模,1,选择题,跨,完整题-选择题照收,升级复判(escc01),中,中国式现代化、科学社会主义、道路多样性属B1；卡1列道路多样性排除B2,BJ-2023-DC-ERMO-Q1,
漏收,BJ-2023-DC-ERMO,2023东城二模,13,选择题,主,完整题-选择题照收,首判(c005),中,联合国地位、大国责任属国际政治；良法善治属法治；民事行为能力属法律,BJ-2023-DC-ERMO-Q13,
漏收,BJ-2023-DC-ERMO,2023东城二模,3,选择题,跨,完整题-选择题照收,首判(c005),中,党的责任担当属党的性质宗旨；政党交流、国际组织功能属国际政治,BJ-2023-DC-ERMO-Q3,
漏收,BJ-2023-DC-YIMO,2023东城一模,12,选择题,主,完整题-选择题照收,首判(c006),高,国际调解院、主权国家权利、外交政策、国际组织分类属选必一,BJ-2023-DC-YIMO-Q12,
漏收,BJ-2023-DC-YIMO,2023东城一模,19,主观题,主,完整题-有E1,首判(s007),高,设问点名经济与社会、当代国际政治与经济；细则对外开放、高质量发展与市场,BJ-2023-DC-YIMO-Q19,
漏收,BJ-2023-FT-ERMO,2023丰台二模,14,选择题,主,完整题-选择题照收,首判(c007),中,政党性质作用、人类命运共同体属选必一；文明交流互鉴涉文化,BJ-2023-FT-ERMO-Q14,
漏收,BJ-2023-FT-ERMO,2023丰台二模,15,选择题,主,完整题-选择题照收,升级复判(escc01),中,国际组织、全球合作属X1；无经济与社会知识点,BJ-2023-FT-ERMO-Q15,
漏收,BJ-2023-FT-ERMO,2023丰台二模,2,选择题,跨,完整题-选择题照收,升级复判(escc01),高,各历史阶段对现代化的贡献、中国式现代化属B1剔除清单,BJ-2023-FT-ERMO-Q2,
漏收,BJ-2023-FT-ERMO,2023丰台二模,4,选择题,跨,完整题-选择题照收,首判(c006),中,文化遗产传承、文明交流互鉴属文化；民心相通兼涉国际交往,BJ-2023-FT-ERMO-Q4,
漏收,BJ-2023-FT-YIMO,2023丰台一模,15,选择题,主,完整题-选择题照收,首判(c007),高,G20性质、全球治理、国家利益出发点,BJ-2023-FT-YIMO-Q15,
漏收,BJ-2023-HD-ERMO,2023海淀二模,12,选择题,主,完整题-选择题照收,首判(c008),高,美英法政治体制运作规则，属选必一国家政体与政党制度,BJ-2023-HD-ERMO-Q12,
漏收,BJ-2023-HD-ERMO,2023海淀二模,13,选择题,主,完整题-选择题照收,升级复判(escc01),高,国际组织与全球治理议题属X1；卡1列国际组织性质排除B2,BJ-2023-HD-ERMO-Q13,
漏收,BJ-2023-HD-ERMO,2023海淀二模,21(2),主观题,主,完整题-有E1,首判(s009),中,综合运用所学；细则和平发展4分、实际出发与矛盾、文化交流交融、习思想,BJ-2023-HD-ERMO-Q21#2,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,12,选择题,主,完整题-选择题照收,首判(c008),高,熊猫外交、法国单一制与半总统制、国家利益，属选必一,BJ-2023-HD-QIZHONG-Q12,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,13,选择题,主,完整题-选择题照收,升级复判(escc01),中,联合国机构、国际合作属X1；文化遗产涉CU；C民族关系属B3,BJ-2023-HD-QIZHONG-Q13,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,14,选择题,主,完整题-选择题照收,升级复判(escc01),低,一带一路、国际贸易投资平台属X1；开放经济是否在B2待核,BJ-2023-HD-QIZHONG-Q14,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,15,选择题,主,完整题-选择题照收,升级复判(escc01),高,非盟、G20国际组织性质属X1；卡1列排除B2,BJ-2023-HD-QIZHONG-Q15,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,4,选择题,跨,完整题-选择题照收,首判(c008),中,新三样出口：扩大内需、创新驱动、外贸提质升级，必修二为主，外贸涉选必一,BJ-2023-HD-QIZHONG-Q4,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,6,选择题,主,完整题-选择题照收,升级复判(escc01),低,人民币国际储备、汇率与世界经济属X1；经济实力可涉B2,BJ-2023-HD-QIZHONG-Q6,
漏收,BJ-2023-HD-YIMO,2023海淀一模,14,选择题,主,完整题-选择题照收,升级复判(escc01),高,全球安全倡议、国家利益、国际和平属X1；无经济与社会考点,BJ-2023-HD-YIMO-Q14,
漏收,BJ-2023-HD-YIMO,2023海淀一模,15,选择题,主,完整题-选择题照收,首判(c009),中,绿色贸易与绿色低碳发展属B2开放、新发展理念；负责任大国属选必一,BJ-2023-HD-YIMO-Q15,
漏收,BJ-2023-HD-YIMO,2023海淀一模,21(2),主观题,主,完整题-有E1,升级复判(escs01),低,点名当代国际政治与经济；答案含更高层次开放型经济，是否属B2开放考法待定,BJ-2023-HD-YIMO-Q21#2,
漏收,BJ-2023-XC-ERMO,2023西城二模,14,选择题,主,完整题-选择题照收,升级复判(escc02),中,义利观、亲诚惠容、合作共赢均为中国外交政策知识，未考开放经济,BJ-2023-XC-ERMO-Q14,
漏收,BJ-2023-XC-ERMO,2023西城二模,15,选择题,跨,完整题-选择题照收,首判(c010),中,服务贸易顺逆差、结构、新业态属开放经济；②全球化不平衡属X1；缺答案键,BJ-2023-XC-ERMO-Q15,
漏收,BJ-2023-XC-ERMO,2023西城二模,18,主观题,主,完整题-有E1,升级复判(escs01),中,设问运用国际知识；细则为经济全球化必然性、开放合作、应对全球挑战,BJ-2023-XC-ERMO-Q18,
漏收,BJ-2023-XC-YIMO,2023西城一模,20,主观题,主,完整题-有E1,升级复判(escs01),中,数字外交原因；细则为信息化多极化、国家利益、话语权；对内以人民为中心,BJ-2023-XC-YIMO-Q20,
漏收,BJ-2023-XC-YIMO,2023西城一模,8,选择题,主,完整题-选择题照收,首判(c010),高,联合国作用、国际关系决定因素、共同利益，属X1,BJ-2023-XC-YIMO-Q8,
漏收,BJ-2023-XC-YIMO,2023西城一模,9,选择题,跨,完整题-选择题照收,首判(c010),中,降低贸易成本：开放、关税壁垒、对外投资、基础设施；关税壁垒兼X1,BJ-2023-XC-YIMO-Q9,
漏收,BJ-2024-CY-YIMO,2024朝阳一模,21,主观题,主,完整题-有E1,首判(s016),高,设问点名当代国际政治与经济；细则形势分析给新发展理念高质量发展分，参考答案含新发展格局,BJ-2024-CY-YIMO-Q21,
漏收,BJ-2024-DC-YIMO,2024东城一模,15,选择题,跨,完整题-选择题照收,首判(c016),中,思维存在同一性、合规律合目的、物质基础属PH；命运共同体属X1；拼搏精神关文化弱,BJ-2024-DC-YIMO-Q15,
漏收,BJ-2024-FT-YIMO,2024丰台一模,20,主观题,主,完整题-有E1,首判(s020),中,点名当代国际政治与经济；细则资源配置效率、贸易投资便利化属开放经济角度,BJ-2024-FT-YIMO-Q20,
漏收,BJ-2024-HD-ERMO,2024海淀二模,12,选择题,跨,完整题-选择题照收,首判(c018),中,市场基础制度、政府与市场、价格机制属B2；外资国民待遇负面清单兼可用X1,BJ-2024-HD-ERMO-Q12,
漏收,BJ-2024-HD-ERMO,2024海淀二模,9,选择题,跨,完整题-选择题照收,首判(c018),中,重复诉讼、管辖属X2诉讼；一国两制/特别行政区可用X1国家结构形式,BJ-2024-HD-ERMO-Q9,
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,13,选择题,跨,完整题-选择题照收,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治,BJ-2024-HD-QIZHONG-Q13,
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,13,选择题,跨,完整题-选择题照收,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治,BJ-2025-HD-QIZHONG-Q13,
漏收,BJ-2024-SY-ERMO,2024顺义二模,18,主观题,主,收-具名例外,首判(s024),高,点名政治与法治、当代国际政治与经济；答案人大制度、人民民主专政国家性质,BJ-2024-SY-ERMO-Q18,
漏收,BJ-2024-SY-ERMO,2024顺义二模,19(2),主观题,主,收-具名例外,首判(s024),中,点名政治与法治、国际政经；答案政府职责、以人民为中心、国际竞争实质、生产力决定作用,BJ-2024-SY-ERMO-Q19#2,
漏收,BJ-2024-SY-ERMO,2024顺义二模,4,选择题,跨,完整题-选择题照收,首判(c021),高,文化民族性世界性、文明多样性属文化；②国家利益出发点属选必一,BJ-2024-SY-ERMO-Q4,
漏收,BJ-2024-XC-ERMO,2024西城二模,18(4),主观题,跨,完整题-有E1,金标(gold_final),中,裁定：E1角度含国家职能(选必一国家职能)与习近平新时代思想(B1)，故补X1、B1跨,BJ-2024-XC-ERMO-Q18#4,
漏收,BJ-2025-DC-ERMO,2025东城二模,8,选择题,跨,完整题-选择题照收,首判(c028),中,物流降本属经济发展；A简化审批一网通办涉政府职能，B2/B3边界未定,BJ-2025-DC-ERMO-Q8,
漏收,BJ-2025-DC-QIMO,2025东城期末,8,选择题,跨,完整题-选择题照收,首判(c028),中,引进外资、营造公平投资环境属开放型经济；引进来走出去亦见X1,BJ-2025-DC-QIMO-Q8,
漏收,BJ-2025-FT-ERMO,2025丰台二模,21,主观题,跨,完整题-有E1,首判(s034),中,答案：唯物论辩证法、党的领导、对外开放；材料全面从严治党、基层治理可用B3,BJ-2025-FT-ERMO-Q21,
漏收,BJ-2025-HD-ERMO,2025海淀二模,13,选择题,跨,完整题-选择题照收,首判(c034),高,划分、充分条件、三段论、选言，内容取自国际政治,BJ-2025-HD-ERMO-Q13,
漏收,BJ-2025-HD-QIMO,2025海淀期末,22,主观题,跨,完整题-有E1,首判(s036),中,题面缺；细则列党的领导、中国梦、传统文化、质量互变、人类命运共同体,BJ-2025-HD-QIMO-Q22,
