书,书中写法,反查结果（按届别应写）,处数,说明
必修二（已送印，第二次印刷用）,2025朝阳期中,(清单段，未反查),28,清单段/题源格多来源，需逐条看
必修二（已送印，第二次印刷用）,2024朝阳期中,(清单段，未反查),10,清单段/题源格多来源，需逐条看
必修二（已送印，第二次印刷用）,2024海淀期中,(清单段，未反查),38,清单段/题源格多来源，需逐条看
必修二（已送印，第二次印刷用）,2026海淀期中,(清单段，未反查),24,清单段/题源格多来源，需逐条看
必修三第52批,2023海淀期中,(反查不到),18,题面反查不到，需人工看
必修三第52批,2023海淀期中,2024海淀期中,9,应改
必修三第52批,2023海淀期中,(清单段，未反查),47,清单段/题源格多来源，需逐条看
必修三第52批,2026海淀期中,2026海淀期中,20,标对了
必修三第52批,2026海淀期中,(反查不到),5,题面反查不到，需人工看
必修三第52批,2026海淀期中,(清单段，未反查),39,清单段/题源格多来源，需逐条看
必修三第52批,2024海淀期中,2025海淀期中,14,应改
必修三第52批,2024海淀期中,(反查不到),3,题面反查不到，需人工看
必修三第52批,2024海淀期中,(清单段，未反查),32,清单段/题源格多来源，需逐条看
哲学 R10,2026朝阳期中,2026朝阳期中,14,标对了
哲学 R10,2026朝阳期中,(反查不到),14,题面反查不到，需人工看
哲学 R10,2026海淀期中,(反查不到),6,题面反查不到，需人工看
哲学 R10,2024朝阳期中,(反查不到),11,题面反查不到，需人工看
哲学 R10,2024朝阳期中,2025朝阳期中,10,应改
文化 v6.30,2024朝阳期中,(反查不到),8,题面反查不到，需人工看
文化 v6.30,2026朝阳期中,(反查不到),14,题面反查不到，需人工看
文化 v6.30,2026海淀期中,(反查不到),4,题面反查不到，需人工看
文化 v6.30,2024海淀期中,(反查不到),2,题面反查不到，需人工看
选必一 v11.14,2026海淀期中,2026海淀期中,8,标对了
选必一 v11.14,2026海淀期中,(反查不到),2,题面反查不到，需人工看
选必一 v11.14,2024朝阳期中,(反查不到),3,题面反查不到，需人工看
选必一 v11.14,2024朝阳期中,2025朝阳期中,1,应改
选必一 v11.14,2026朝阳期中,(反查不到),2,题面反查不到，需人工看
选必一 v11.14,2026朝阳期中,2026朝阳期中,2,标对了
选必二 r22,2024海淀期中,(反查不到),4,题面反查不到，需人工看
思维 v6.20,2026朝阳期中,2026朝阳期中,4,标对了
思维 v6.20,2026朝阳期中,(反查不到),5,题面反查不到，需人工看
思维 v6.20,2025朝阳期中,2026朝阳期中,1,应改
思维 v6.20,2024朝阳期中,(反查不到),1,题面反查不到，需人工看
推理 v7.50,2026朝阳期中,2026朝阳期中,10,标对了
推理 v7.50,2026朝阳期中,(反查不到),2,题面反查不到，需人工看
推理 v7.50,2024朝阳期中,2025朝阳期中,15,应改
推理 v7.50,2024朝阳期中,(反查不到),4,题面反查不到，需人工看
