卷,题号_小问,题型,最终rel,证据状态,判定来源,conf,why,unit_id,备注
BJ-2023-BJ-GAOKAO,18(3),主观题,(未列为相关),完整题-有E1,金标(gold_final),高,第3问点名逻辑与思维，类比推理；细则写其他知识不得分（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-BJ-GAOKAO-Q18#3,非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿6处检索仅见第(2)问，该问书稿从未收录，已移出错收候选
BJ-2024-HD-QIZHONG,21(2),主观题,(未列为相关),完整题-有E1,升级复判(escs02),中,设问点名《当代国际政治与经济》；细则“服务人民民主专政国家性质”1分涉B3（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-HD-QIZHONG-Q21#2,非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿4处检索仅见第(1)问，该问书稿从未收录，已移出错收候选
BJ-2024-SJS-YIMO,18(1),主观题,(未列为相关),不收-无E1（题库回溯确认，2026-09-24 归属表返修）,升级复判(escs03),中,点名政治与法治；答案为党的领导、人民当家作主、依法治国统一（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-SJS-YIMO-Q18#1,待核证据转负：bank.py 未见正式评分材料/明确无E1；非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿3处检索仅见第(2)问，该问书稿从未收录，已移出错收候选
BJ-2025-FT-ERMO,19(1),主观题,(未列为相关),完整题-有E1,升级复判(escs04),中,(1)点名逻辑与思维；答案充分/必要条件为主，兼辩证思维；细则文字未入切片（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-FT-ERMO-Q19#1,非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿4处检索仅见第(2)问，该问书稿从未收录，已移出错收候选
BJ-2026-CY-QIMO,18(2),主观题,(未列为相关),完整题-有E1,升级复判(escs05),中,设问点名逻辑与思维；细则充分必要条件、假言推理（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-CY-QIMO-Q18#2,非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿5处检索仅见第(1)问，该问书稿从未收录，已移出错收候选
BJ-2026-FS-ERMO,18(2),主观题,(未列为相关),完整题-有E1,升级复判(escs06),高,设问点名《逻辑与思维》辩证否定观；细则为联系、发展环节和扬弃（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-FS-ERMO-Q18#2,非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿4处检索仅见第(1)问，该问书稿从未收录，已移出错收候选
BJ-2026-HD-ERMO,18(1),主观题,(未列为相关),完整题-有E1,升级复判(escs06),高,设问点名《逻辑与思维》；答案为分析与综合、联想思维、科学思维（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-HD-ERMO-Q18#1,非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿检索仅见第(2)问，该问书稿从未收录，已移出错收候选
BJ-2026-HD-YIMO,18(1),主观题,(未列为相关),完整题-有E1,升级复判(escs06),中,E1第1问是读图概括消费结构优化，属经济知识；题面栏为空（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-HD-YIMO-Q18#1,非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿3处检索仅见第(3)问，该问书稿从未收录，已移出错收候选
BJ-2026-HD-YIMO,18(2),主观题,(未列为相关),完整题-有E1,升级复判(escs06),中,E1第2问考提振消费、扩大内需、产业结构、就业；题面栏为空（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-HD-YIMO-Q18#2,非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿3处检索仅见第(3)问，该问书稿从未收录，已移出错收候选
BJ-2026-XC-ERMO,18(4),主观题,(未列为相关),不收-无E1（题库回溯确认，2026-09-24 归属表返修）,升级复判(escs07),中,设问点名逻辑与思维·提升思维品质；推理角度存疑标跨（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-XC-ERMO-Q18#4,待核证据转负：bank.py 未见正式评分材料/明确无E1；非错收：matrix单元格未按小问精确展开（X2选必二每题实收一问），书稿10处检索仅见第(1)(2)问，该问书稿从未收录，已移出错收候选
