类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id,备注
漏收,BJ-2020-BJ-GAOKAO,2020北京高考,10,选择题,跨,完整题-选择题照收,首判(c001),中,正确肢②④人大对外交往属国际政治；①③人大与议会职权、常设机关属政治,BJ-2020-BJ-GAOKAO-Q10,
漏收,BJ-2020-BJ-GAOKAO,2020北京高考,17(1),主观题,跨,完整题-有E1,首判(s001),中,点名经济生活，宏观调控/信息服务；替代“政府经济建设职能”可用B3政府职能,BJ-2020-BJ-GAOKAO-Q17#1,
漏收,BJ-2020-BJ-GAOKAO,2020北京高考,7,选择题,跨,完整题-选择题照收,升级复判(escc01),中,②公共资源不按市场原则配置属B2；③隐私权、④合法性审查属法治,BJ-2020-BJ-GAOKAO-Q7,
漏收,BJ-2020-BJ-GAOKAO,2020北京高考,9,选择题,主,完整题-选择题照收,升级复判(escc01),中,党员作用、基层党组织、国家机关属B3；仅②收入差距涉B2,BJ-2020-BJ-GAOKAO-Q9,
漏收,BJ-2022-BJ-GAOKAO,2022北京高考,1,选择题,跨,完整题-选择题照收,升级复判(escc01),中,初级阶段、党的全部理论主题属B1；④实践证明科学性有PH角度,BJ-2022-BJ-GAOKAO-Q1,
漏收,BJ-2022-BJ-GAOKAO,2022北京高考,2,选择题,主,完整题-选择题照收,升级复判(escc01),低,②国家治理制度安排；④共同富裕属B2；CU仅劳模激励弱角度,BJ-2022-BJ-GAOKAO-Q2,
漏收,BJ-2022-BJ-GAOKAO,2022北京高考,3,选择题,跨,完整题-选择题照收,首判(c002),中,青年运动主题B1；④社会基本矛盾PH；②思想文化指导CU,BJ-2022-BJ-GAOKAO-Q3,
漏收,BJ-2023-BJ-GAOKAO,2023北京高考,1,选择题,主,完整题-选择题照收,升级复判(escc01),中,②④赶考清醒、初心属党的建设；红色文化汲取力量属CU；①③党史,BJ-2023-BJ-GAOKAO-Q1,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,3,选择题,跨,完整题-选择题照收,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI,BJ-2023-CY-ERMO-Q3,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,8,选择题,跨,完整题-选择题照收,升级复判(escc01),中,概念外延关系属推理；③法律体系需B3、④唯物主义形态需PH,BJ-2023-CY-ERMO-Q8,
漏收,BJ-2023-DC-ERMO,2023东城二模,1,选择题,跨,完整题-选择题照收,升级复判(escc01),中,中国式现代化、科学社会主义、道路多样性属B1；卡1列道路多样性排除B2,BJ-2023-DC-ERMO-Q1,
漏收,BJ-2023-DC-ERMO,2023东城二模,13,选择题,跨,完整题-选择题照收,首判(c005),中,联合国地位、大国责任属国际政治；良法善治属法治；民事行为能力属法律,BJ-2023-DC-ERMO-Q13,
漏收,BJ-2023-DC-ERMO,2023东城二模,3,选择题,主,完整题-选择题照收,首判(c005),中,党的责任担当属党的性质宗旨；政党交流、国际组织功能属国际政治,BJ-2023-DC-ERMO-Q3,
漏收,BJ-2023-DC-ERMO,2023东城二模,4,选择题,跨,完整题-选择题照收,升级复判(escc01),低,文物活化、革命遗迹红色血脉属CU；②共建共治共享社会治理,BJ-2023-DC-ERMO-Q4,
漏收,BJ-2023-DC-YIMO,2023东城一模,1,选择题,跨,完整题-选择题照收,升级复判(escc01),低,主要矛盾、总体趋势属PH；战略思维可涉思维书；①党的领导,BJ-2023-DC-YIMO-Q1,
漏收,BJ-2023-DC-YIMO,2023东城一模,13,选择题,跨,完整题-选择题照收,首判(c006),中,利弊转化、辩证否定属哲学；超前思维涉思维；④立法规范属B3,BJ-2023-DC-YIMO-Q13,
漏收,BJ-2023-DC-YIMO,2023东城一模,8,选择题,主,完整题-选择题照收,首判(c006),中,法律促进道德、执法主体属B3；正确肢③第三次分配共同富裕属B2,BJ-2023-DC-YIMO-Q8,
漏收,BJ-2023-HD-ERMO,2023海淀二模,11,选择题,跨,完整题-选择题照收,首判(c008),中,调查研究：群众观点/实践与认识属哲学；质询权、党的宗旨属必修三,BJ-2023-HD-ERMO-Q11,
漏收,BJ-2023-HD-ERMO,2023海淀二模,14,选择题,跨,完整题-选择题照收,首判(c008),中,要约与合同成立、仲裁协议属选必二；正确项政府监管市场秩序属必修二,BJ-2023-HD-ERMO-Q14,
漏收,BJ-2023-HD-ERMO,2023海淀二模,20(1),主观题,主,完整题-有E1,首判(s008),中,法治知识填意义；细则维护市场秩序公平竞争(B2)、主体民事权利消费者权益(X2)、替代科学立法(B3),BJ-2023-HD-ERMO-Q20#1,
漏收,BJ-2023-HD-ERMO,2023海淀二模,7,选择题,主,完整题-选择题照收,升级复判(escc01),中,共建共治共享、执法主体属B3；同一性斗争性属PH；无经济点,BJ-2023-HD-ERMO-Q7,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,10,选择题,主,完整题-选择题照收,首判(c008),中,政府回应诉求、行政服务属必修三；提高资源利用效率可作必修二角度,BJ-2023-HD-QIZHONG-Q10,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,11,选择题,跨,完整题-选择题照收,首判(c008),中,黄牛票治理：市场秩序与监管为主；经营者告知义务、消费者权益涉选必二,BJ-2023-HD-QIZHONG-Q11,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,13,选择题,跨,完整题-选择题照收,升级复判(escc01),中,联合国机构、国际合作属X1；文化遗产涉CU；C民族关系属B3,BJ-2023-HD-QIZHONG-Q13,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,2,选择题,跨,完整题-选择题照收,升级复判(escc01),高,初级阶段、中国式现代化、中国梦属B1；②党的领导,BJ-2023-HD-QIZHONG-Q2,
漏收,BJ-2023-HD-YIMO,2023海淀一模,2,选择题,主,完整题-选择题照收,首判(c009),中,设问折射党，考初心使命与执政；②④涉土地制度、分配制度，B2角度弱,BJ-2023-HD-YIMO-Q2,
