question_id,pilot_id,number,points,source_pages,blocks,has_rubric_unit,in_my_split,reuse_status
BJ-2026-HD-YIMO-Q1,Q1,1,3,1,3,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q2,Q2,2,3,1,3,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q3,Q3,3,3,1,4,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q4,Q4,4,3,2,4,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q5,Q5,5,3,2,2,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q6,Q6,6,3,2,4,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q7,Q7,7,3,3,5,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q8,Q8,8,3,3,5,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q9,Q9,9,3,3,3,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q10,Q10,10,3,3,2,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q11,Q11,11,3,4,2,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q12,Q12,12,3,4,2,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q13,Q13,13,3,4,5,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q14,Q14,14,3,4,4,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q15,Q15,15,3,4,3,N,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q16,Q16,16,8,5,3,Y,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q17,Q17,17,6,5,4,Y,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q18,Q18,18,15,6,11,Y,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q19,Q19,19,8,7,5,Y,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q20,Q20,20,8,7,5,Y,Y,verified_reused_pilot
BJ-2026-HD-YIMO-Q21,Q21,21,10,8,4,Y,Y,verified_reused_pilot
