unit_id,qid,canonical_qid,exam_id_canonical,num,type,subq,grain,归属_B2,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q17,BJ-2025-CY-ERMO-Q17,BJ-2025-CY-ERMO-Q17,BJ-2025-CY-ERMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q20#1,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q20#2,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO,21,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q20#1,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q20#2,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q19#1,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q19#2,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q19#3,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,主观题,3,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q17,BJ-2023-BJ-GAOKAO-Q17,BJ-2023-BJ-GAOKAO-Q17,BJ-2023-BJ-GAOKAO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q18#1,BJ-2023-BJ-GAOKAO-Q18,BJ-2023-BJ-GAOKAO-Q18,BJ-2023-BJ-GAOKAO,18,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q18#2,BJ-2023-BJ-GAOKAO-Q18,BJ-2023-BJ-GAOKAO-Q18,BJ-2023-BJ-GAOKAO,18,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
