unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_B3,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q16,BJ-2025-CY-ERMO-Q16,BJ-2025-CY-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q20#1,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q20#2,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q18#2,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO,18,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO,21,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2020-BJ-GAOKAO-Q21,BJ-2020-BJ-GAOKAO-Q21,BJ-2020-BJ-GAOKAO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q20#1,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q20#2,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q21,BJ-2024-CY-YIMO-Q21,BJ-2024-CY-YIMO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO,17,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO,20,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
