类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id,备注
漏收,BJ-2022-BJ-GAOKAO,2022北京高考,21,主观题,跨,完整题-有E1,升级复判(escs01),中,综合运用所学；细则常用知识含矛盾实践辩证否定、传统文化、自我革命、新发展理念等,BJ-2022-BJ-GAOKAO-Q21,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,11,选择题,跨,完整题-选择题照收,首判(c004),中,党的群众组织力社会号召力、干部队伍属B3；统一思想涉CU；理论创新涉B1/PH,BJ-2023-CY-ERMO-Q11,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,2,选择题,跨,完整题-选择题照收,首判(c004),中,现代化新道路、改革开放方向、民族复兴属B1；人民主体地位PH；精神力量CU,BJ-2023-CY-ERMO-Q2,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,5,选择题,主,完整题-选择题照收,首判(c004),中,读书、价值观外化、经典与传统继承属CU；知行合一属PH认识论,BJ-2023-CY-ERMO-Q5,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,9,选择题,跨,完整题-选择题照收,金标(gold_final),高,财政、收入分配、实体经济；④核心价值观劳动精神属文化,BJ-2023-CY-ERMO-Q9,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,15,选择题,跨,完整题-选择题照收,升级复判(escc01),中,外交宗旨、全球话语体系属X1；B讲好中国故事涉文化传播,BJ-2023-CY-YIMO-Q15,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,3,选择题,主,完整题-选择题照收,首判(c004),中,雷锋精神、核心价值观、社会文明程度属CU；劳动奉献实现人生价值属PH,BJ-2023-CY-YIMO-Q3,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,5,选择题,跨,完整题-选择题照收,首判(c004),中,意识选择性、自在事物联系、共性个性均PH；影视引发思考稍涉CU,BJ-2023-CY-YIMO-Q5,
漏收,BJ-2023-DC-ERMO,2023东城二模,16,主观题,主,完整题-有E1,首判(s005),中,E1角度核心价值观、先进文化、精神文明属CU；设问含哲学,BJ-2023-DC-ERMO-Q16,
漏收,BJ-2023-DC-ERMO,2023东城二模,2,选择题,主,完整题-选择题照收,升级复判(escc01),中,传统文化基因、文明观属CU；物质生产基础属PH；无经济知识点,BJ-2023-DC-ERMO-Q2,
漏收,BJ-2023-DC-ERMO,2023东城二模,4,选择题,主,完整题-选择题照收,升级复判(escc01),低,文物活化、革命遗迹红色血脉属CU；②共建共治共享社会治理,BJ-2023-DC-ERMO-Q4,
漏收,BJ-2023-DC-ERMO,2023东城二模,5,选择题,主,完整题-选择题照收,首判(c005),中,②民族文化展现属文化，③发散与聚合思维属思维；答案C,BJ-2023-DC-ERMO-Q5,
漏收,BJ-2023-DC-YIMO,2023东城一模,16,主观题,主,完整题-有E1,首判(s006),中,点名《哲学与文化》；细则角度审美意识、价值观(PH)、优秀传统文化(CU),BJ-2023-DC-YIMO-Q16,
漏收,BJ-2023-DC-YIMO,2023东城一模,4,选择题,主,完整题-选择题照收,升级复判(escc01),高,文化权益、文化产业社会效益首位、文化活力均属CU；卡1列文化权益排除B2,BJ-2023-DC-YIMO-Q4,
漏收,BJ-2023-FT-ERMO,2023丰台二模,10,选择题,跨,完整题-选择题照收,首判(c007),中,民族区域自治权、民族团结属政治；生产关系属哲学；文化发展涉文化,BJ-2023-FT-ERMO-Q10,
漏收,BJ-2023-FT-ERMO,2023丰台二模,14,选择题,跨,完整题-选择题照收,首判(c007),中,政党性质作用、人类命运共同体属选必一；文明交流互鉴涉文化,BJ-2023-FT-ERMO-Q14,
漏收,BJ-2023-FT-ERMO,2023丰台二模,3,选择题,跨,完整题-选择题照收,首判(c006),高,意识主客观统一、人生价值属哲学；传统/革命文化、民族精神属文化,BJ-2023-FT-ERMO-Q3,
漏收,BJ-2023-FT-ERMO,2023丰台二模,4,选择题,主,完整题-选择题照收,首判(c006),中,文化遗产传承、文明交流互鉴属文化；民心相通兼涉国际交往,BJ-2023-FT-ERMO-Q4,
漏收,BJ-2023-FT-YIMO,2023丰台一模,1,选择题,跨,完整题-选择题照收,首判(c007),中,党史、历史自信、社会变革属必修一；④革命文化涉文化,BJ-2023-FT-YIMO-Q1,
漏收,BJ-2023-FT-YIMO,2023丰台一模,5,选择题,主,完整题-选择题照收,首判(c007),中,文艺作品源于实践、弘扬主旋律、时代精神属文化；实践观涉哲学,BJ-2023-FT-YIMO-Q5,
漏收,BJ-2023-FT-YIMO,2023丰台一模,6,选择题,主,完整题-选择题照收,升级复判(escc01),中,中华文化基因属CU；②认识源泉、④认识发展属PH,BJ-2023-FT-YIMO-Q6,
漏收,BJ-2023-HD-ERMO,2023海淀二模,18,主观题,主,完整题-有E1,升级复判(escs01),高,点名哲学与文化；细则为文化继承交融、联系综合创新、人民立场；无经济角度,BJ-2023-HD-ERMO-Q18,
漏收,BJ-2023-HD-ERMO,2023海淀二模,2,选择题,主,完整题-选择题照收,首判(c007),中,正确项挖掘民族文化资源属文化；辩证否定、新事物、意识属哲学,BJ-2023-HD-ERMO-Q2,
漏收,BJ-2023-HD-ERMO,2023海淀二模,21(2),主观题,跨,完整题-有E1,首判(s009),中,综合运用所学；细则和平发展4分、实际出发与矛盾、文化交流交融、习思想,BJ-2023-HD-ERMO-Q21#2,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,13,选择题,跨,完整题-选择题照收,升级复判(escc01),中,联合国机构、国际合作属X1；文化遗产涉CU；C民族关系属B3,BJ-2023-HD-QIZHONG-Q13,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,3,选择题,主,完整题-选择题照收,首判(c008),中,两个结合、古为今用、意识形态指导地位属文化；文化自信/历史自信涉必修一,BJ-2023-HD-QIZHONG-Q3,
漏收,BJ-2023-HD-YIMO,2023海淀一模,1,选择题,跨,完整题-选择题照收,首判(c009),中,中国特色社会主义特色属必修一；③全面继承传统文化需文化书批判继承判断,BJ-2023-HD-YIMO-Q1,
漏收,BJ-2023-HD-YIMO,2023海淀一模,13,选择题,跨,完整题-选择题照收,首判(c009),中,姓名权、民事责任属选必二；④检察机关法律监督非监察权属B3；③核心价值观,BJ-2023-HD-YIMO-Q13,
漏收,BJ-2023-HD-YIMO,2023海淀一模,7,选择题,跨,完整题-选择题照收,升级复判(escc02),中,小餐馆诚信经营、市场竞争、改善民生属B2；B肢时代精神属文化,BJ-2023-HD-YIMO-Q7,
漏收,BJ-2023-XC-ERMO,2023西城二模,16(2),主观题,跨,完整题-有E1,首判(s011),中,细则不限模块：公共服务民生、政府社区多主体、文化建设,BJ-2023-XC-ERMO-Q16#2,
漏收,BJ-2023-XC-ERMO,2023西城二模,17,主观题,主,完整题-有E1,升级复判(escs01),中,细则三角度：文化需求、人民主体地位、地方特色；无经济得分角度,BJ-2023-XC-ERMO-Q17,
漏收,BJ-2023-XC-ERMO,2023西城二模,3,选择题,主,完整题-选择题照收,首判(c009),高,文明展主旨：文物与文明、民族文化、传统文化、文明交流互鉴,BJ-2023-XC-ERMO-Q3,
漏收,BJ-2023-XC-YIMO,2023西城一模,19(2),主观题,跨,完整题-有E1,升级复判(escs01),中,法律角度谈诚信；细则为法律义务、交易安全秩序，替代含核心价值观,BJ-2023-XC-YIMO-Q19#2,
漏收,BJ-2023-XC-YIMO,2023西城一模,21(3),主观题,主,完整题-有E1,首判(s013),高,综合运用所学；细则列哲学(社会意识/矛盾特殊性/内外因)、文化(民族精神/文化自信)、中特必由之路,BJ-2023-XC-YIMO-Q21#3,
漏收,BJ-2023-XC-YIMO,2023西城一模,4,选择题,主,完整题-选择题照收,首判(c010),中,文化载体、传统文化、公共文化服务属CU；④协同创新推动数字产业有B2角度,BJ-2023-XC-YIMO-Q4,
漏收,BJ-2024-BJ-GAOKAO,2024北京高考,19,主观题,跨,完整题-有E1,升级复判(escs02),中,违约/侵权/紧急救助属X2；细则核心价值观属CU；公平竞争作B2角度存疑,BJ-2024-BJ-GAOKAO-Q19,
漏收,BJ-2024-FT-ERMO,2024丰台二模,21,主观题,跨,完整题-有E1,首判(s019),中,细则写哲学及中特两模块：联系整体部分量变质变；中国梦归B1；民族精神价值观涉CU,BJ-2024-FT-ERMO-Q21,
漏收,BJ-2024-XC-YIMO,2024西城一模,18(3),主观题,跨,完整题-有E1,金标(gold_final),中,赡养义务属法律与生活；细则法律促进道德、法治德治统一、传统美德,BJ-2024-XC-YIMO-Q18#3,
漏收,BJ-2025-DC-YIMO,2025东城一模,19,主观题,跨,完整题-有E1,首判(s033),中,调解诉讼、劳动合同、遗产管理属法律与生活；细则3分给核心价值观、传统美德,BJ-2025-DC-YIMO-Q19,
漏收,BJ-2025-FS-YIMO,2025房山一模,19,主观题,跨,完整题-有E1,首判(s034),中,细则：不正当竞争、民法原则、保密义务(X2)；公正司法(B3)；市场秩序与产权激发创新(B2)；核心价值观,BJ-2025-FS-YIMO-Q19,
漏收,BJ-2025-HD-YIMO,2025海淀一模,4,选择题,跨,完整题-选择题照收,金标(gold_final),低,裁定：题面仅存①，担当民族复兴重任、锤炼意志属人生价值PH；材料文明其精神有CU可能，拿不准标跨,BJ-2025-HD-YIMO-Q4,
