book,layer,id,raw,status,key,cands,notes,fp_suggest,fp_top
philosophy,block,B0191,2026年顺义一模第16题,no_question_md,BJ-2026-SY-YIMO-Q16,,[],,{}
philosophy,block,B0333,2026年顺义一模第16题,no_question_md,BJ-2026-SY-YIMO-Q16,,[],,{}
philosophy,block,B0435,2026年顺义一模第16题,no_question_md,BJ-2026-SY-YIMO-Q16,,[],,{}
philosophy,block,B0551,2026年顺义一模第16题,no_question_md,BJ-2026-SY-YIMO-Q16,,[],,{}
philosophy,block,B1051,2026年顺义一模第16题,no_question_md,BJ-2026-SY-YIMO-Q16,,[],,{}
culture,block,B0037,2026 年顺义一模第 16 题,no_question_md,BJ-2026-SY-YIMO-Q16,,[],,{}
culture,drill,D0413,2026年房山一模第1题,no_question_md,BJ-2026-FS-YIMO-Q1,,[],,
culture,drill,D0414,2026年房山一模第8题,no_question_md,BJ-2026-FS-YIMO-Q8,,[],,
culture,drill,D0834,2026年房山一模第1题,no_question_md,BJ-2026-FS-YIMO-Q1,,[],,
culture,drill,D0835,2026年房山一模第8题,no_question_md,BJ-2026-FS-YIMO-Q8,,[],,
xuanbi1,block,B0085,2024年房山一模第18题第（2）问,exam_not_in_bank,BJ-2024-FS-YIMO-Q18,,[],,{}
xuanbi1,block,B0093,2024—2025学年海淀期中第12题,ambiguous,,"[""BJ-2024-HD-QIZHONG-Q12"", ""BJ-2025-HD-QIZHONG-Q12"", ""BJ-2025-HD-YIMO-Q12""]","[""第二学期期中练习按海淀惯例可能是一模（BJ-2025-HD-YIMO），列为候选"", ""探针分不出（最高 5、次高 5；门槛：≥4 且领先≥2）""]",,"{""BJ-2024-HD-QIZHONG-Q12"": 5, ""BJ-2025-HD-QIZHONG-Q12"": 5, ""BJ-2024-CY-YIMO-Q21"": 1}"
xuanbi1,block,B0095,2024年门头沟一模第8题,exam_not_in_bank,BJ-2024-MTG-YIMO-Q8,,[],,"{""BJ-2023-HD-QIZHONG-Q21"": 1, ""BJ-2023-HD-QIZHONG-Q9"": 1, ""BJ-2024-HD-ERMO-Q7"": 1}"
xuanbi1,block,B0124,2024年门头沟一模第10题,exam_not_in_bank,BJ-2024-MTG-YIMO-Q10,,[],,{}
xuanbi1,block,B0141,2024年房山一模第14题,exam_not_in_bank,BJ-2024-FS-YIMO-Q14,,[],,"{""BJ-2025-FT-ERMO-Q15"": 1, ""BJ-2025-MTG-YIMO-Q11"": 1, ""BJ-2026-SJS-YIMO-Q20"": 1}"
xuanbi1,block,B0199,2024—2025学年海淀期中第13题,ambiguous,,"[""BJ-2024-HD-QIZHONG-Q13"", ""BJ-2025-HD-QIZHONG-Q13"", ""BJ-2025-HD-YIMO-Q13""]","[""第二学期期中练习按海淀惯例可能是一模（BJ-2025-HD-YIMO），列为候选"", ""探针分不出（最高 5、次高 5；门槛：≥4 且领先≥2）""]",,"{""BJ-2024-HD-QIZHONG-Q13"": 5, ""BJ-2025-HD-QIZHONG-Q13"": 5}"
xuanbi1,block,B0270,2024年门头沟一模第11题,exam_not_in_bank,BJ-2024-MTG-YIMO-Q11,,[],,"{""BJ-2025-CY-ERMO-Q21"": 2, ""BJ-2025-MTG-YIMO-Q5"": 2, ""BJ-2023-FT-YIMO-Q21"": 1}"
xuanbi1,block,B0280,2024年房山一模第18题第（2）问,exam_not_in_bank,BJ-2024-FS-YIMO-Q18,,[],,{}
xuanbi1,block,B0293,2024—2025学年海淀期中第14题,ambiguous,,"[""BJ-2024-HD-QIZHONG-Q14"", ""BJ-2025-HD-QIZHONG-Q14"", ""BJ-2025-HD-YIMO-Q14""]","[""第二学期期中练习按海淀惯例可能是一模（BJ-2025-HD-YIMO），列为候选"", ""探针分不出（最高 3、次高 1；门槛：≥4 且领先≥2）""]",,"{""BJ-2024-HD-QIZHONG-Q14"": 3, ""BJ-2025-HD-QIZHONG-Q14"": 1}"
